                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.845,                 4.1766,                 3.9178,                      0,                      0,                      0,                      0,                 3.8664,                 4.0323,                 3.7274,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1931,                 3.0798,                 2.9541,                 0.0028,                0.00543,                0.00149,                0.00054,                 3.5918,                 4.3868,                 3.5835,               0.040478,              0.0065893,              0.0065893
                      3,                 2.4969,                 2.2563,                  2.206,                0.72035,                0.04981,                0.05542,                0.02329,                 2.2888,                 2.0017,                 2.0878,               0.010434,              0.0098788,              0.0098788
                      4,                  1.894,                 1.7065,                 1.7182,                0.51832,                0.11568,                0.11636,                0.06321,                   1.57,                 1.4446,                 1.5237,               0.009901,               0.009901,               0.009901
                      5,                  1.566,                 1.4016,                 1.4747,                0.44591,                0.17521,                0.15543,                 0.0878,                 1.3914,                 1.3933,                 1.4058,               0.009868,               0.009868,               0.009868
                      6,                 1.3802,                 1.1932,                 1.3467,                0.63319,                0.19071,                0.20672,                0.12768,                  1.192,                 1.1517,                 1.2604,               0.009835,               0.009835,               0.009835
                      7,                 1.2734,                 1.0756,                 1.2717,                0.47444,                0.22789,                0.24682,                0.15513,                 1.0905,                0.88892,                 1.1867,               0.009802,               0.009802,               0.009802
                      8,                 1.1847,                0.98953,                 1.2163,                0.28904,                0.27684,                 0.2748,                0.17875,                 1.0161,                0.82589,                 1.1402,               0.009769,               0.009769,               0.009769
                      9,                 1.1296,                0.92431,                 1.1806,                  0.445,                0.28248,                0.28759,                 0.1907,                0.96355,                0.80578,                 1.1233,               0.009736,               0.009736,               0.009736
                     10,                 1.0733,                0.87742,                 1.1578,                0.49342,                 0.3355,                0.32096,                0.21518,                0.92973,                0.75257,                 1.0948,               0.009703,               0.009703,               0.009703
                     11,                  1.035,                 0.8354,                 1.1354,                0.65335,                0.33437,                0.33022,                0.22499,                0.88057,                0.71895,                 1.0728,                0.00967,                0.00967,                0.00967
