                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7478,                 4.1596,                  3.866,                      0,                      0,                      0,                      0,                 3.8702,                 4.0819,                 3.7602,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.2259,                 3.2011,                 2.9321,                      0,                      0,                      0,                      0,                 3.7961,                 4.6116,                 3.7285,               0.040478,              0.0065893,              0.0065893
                      3,                   2.63,                 2.5238,                 2.2808,                0.55664,                0.03933,                 0.0214,                0.00794,                 2.5699,                  2.657,                 2.2743,               0.010434,              0.0098788,              0.0098788
                      4,                 2.0245,                 1.8956,                 1.7689,                0.34361,                0.07879,                0.07022,                0.03432,                 1.9429,                 1.8197,                 1.7283,               0.009901,               0.009901,               0.009901
                      5,                 1.6958,                 1.5682,                 1.5177,                0.30704,                0.14773,                0.13982,                0.07639,                 1.5026,                 1.3675,                 1.4275,               0.009868,               0.009868,               0.009868
                      6,                 1.5078,                 1.3465,                 1.3859,                0.45984,                0.16554,                0.17674,                0.10355,                 1.3303,                 1.1867,                 1.3093,               0.009835,               0.009835,               0.009835
                      7,                 1.3828,                 1.2077,                 1.3037,                 0.5032,                0.19175,                0.21172,                0.12975,                 1.2005,                 1.0317,                 1.2336,               0.009802,               0.009802,               0.009802
                      8,                 1.2824,                 1.1014,                 1.2464,                0.32564,                0.19331,                0.23355,                0.14524,                 1.1223,                0.95968,                 1.1817,               0.009769,               0.009769,               0.009769
                      9,                 1.2257,                 1.0264,                 1.2088,                0.47887,                0.24686,                0.25883,                0.16184,                 1.0597,                0.89665,                 1.1445,               0.009736,               0.009736,               0.009736
                     10,                 1.1526,                0.97054,                 1.1763,                0.44275,                0.25573,                0.27759,                0.17988,                 1.0184,                0.87318,                 1.1307,               0.009703,               0.009703,               0.009703
                     11,                 1.1187,                0.92967,                 1.1543,                0.36295,                0.30497,                0.29538,                 0.1922,                0.98762,                0.82428,                 1.1017,                0.00967,                0.00967,                0.00967
                     12,                 1.0786,                0.88447,                 1.1303,                0.42559,                0.31225,                0.31983,                 0.2141,                0.91927,                0.75567,                 1.0705,               0.009637,               0.009637,               0.009637
                     13,                 1.0441,                0.85232,                 1.1147,                0.61833,                0.30319,                0.32687,                0.22136,                0.90518,                 0.7438,                 1.0606,               0.009604,               0.009604,               0.009604
                     14,                 1.0178,                0.82682,                 1.0987,                0.55373,                0.34043,                0.34897,                0.23817,                0.86881,                0.72128,                 1.0444,               0.009571,               0.009571,               0.009571
                     15,                 1.0031,                0.80312,                 1.0869,                0.65085,                0.33462,                0.35924,                 0.2459,                0.85427,                0.69615,                 1.0366,               0.009538,               0.009538,               0.009538
                     16,                0.97583,                0.78084,                 1.0756,                0.61522,                0.32198,                0.37195,                 0.2543,                 0.8448,                0.69265,                 1.0316,               0.009505,               0.009505,               0.009505
                     17,                0.95583,                0.76213,                 1.0608,                 0.7477,                0.34093,                0.37956,                0.26499,                0.81285,                0.66352,                 1.0142,               0.009472,               0.009472,               0.009472
                     18,                0.93306,                0.74407,                  1.049,                0.76077,                0.35568,                0.38883,                0.27698,                0.79844,                0.65361,                  1.008,               0.009439,               0.009439,               0.009439
                     19,                 0.9246,                0.73916,                 1.0469,                0.65412,                0.39852,                0.40054,                0.28155,                0.78142,                0.64363,                0.99901,               0.009406,               0.009406,               0.009406
                     20,                0.90707,                0.71644,                 1.0356,                0.70751,                0.36081,                0.40159,                0.28483,                0.78416,                0.63536,                0.99669,               0.009373,               0.009373,               0.009373
                     21,                0.89508,                 0.7079,                 1.0295,                0.68506,                0.41877,                0.41864,                0.29449,                0.74899,                0.61458,                0.98267,                0.00934,                0.00934,                0.00934
                     22,                 0.8878,                0.70071,                 1.0227,                0.77479,                0.39249,                0.44708,                0.32654,                 0.7402,                 0.5939,                0.98014,               0.009307,               0.009307,               0.009307
                     23,                0.87132,                0.68433,                 1.0172,                0.68701,                0.42465,                0.43046,                0.31531,                0.73453,                0.59395,                0.97565,               0.009274,               0.009274,               0.009274
                     24,                0.86115,                0.67711,                 1.0123,                0.77698,                0.39375,                0.45553,                0.33115,                0.71857,                0.57549,                0.96631,               0.009241,               0.009241,               0.009241
                     25,                0.85042,                0.67007,                 1.0046,                0.74611,                0.42711,                0.44206,                0.32635,                0.70607,                0.57499,                0.96122,               0.009208,               0.009208,               0.009208
                     26,                0.84422,                0.65798,                 1.0042,                0.71225,                0.43435,                0.46329,                0.33824,                  0.707,                0.56728,                0.95886,               0.009175,               0.009175,               0.009175
                     27,                0.83086,                0.64506,                0.99171,                0.73183,                0.41548,                  0.448,                0.33065,                0.71332,                0.56556,                0.96131,               0.009142,               0.009142,               0.009142
                     28,                0.82452,                0.64115,                0.99087,                0.77998,                0.41679,                 0.4669,                0.34511,                0.69358,                 0.5568,                0.95348,               0.009109,               0.009109,               0.009109
                     29,                0.81592,                0.63629,                0.98742,                0.74326,                0.43789,                0.46701,                0.34312,                0.67532,                0.54364,                0.94614,               0.009076,               0.009076,               0.009076
                     30,                0.81424,                0.62825,                0.98614,                0.72705,                0.44335,                0.46314,                0.34819,                0.67361,                0.53967,                0.94415,               0.009043,               0.009043,               0.009043
                     31,                0.80159,                0.62742,                0.98179,                0.69906,                0.46014,                0.47389,                0.35469,                0.67063,                0.54093,                0.94095,                0.00901,                0.00901,                0.00901
                     32,                0.79907,                0.62705,                0.98171,                0.73116,                0.46235,                0.48075,                0.36283,                0.65938,                0.53687,                0.93914,               0.008977,               0.008977,               0.008977
                     33,                0.79144,                 0.6162,                0.97672,                0.72682,                0.48526,                0.49542,                0.36325,                0.66584,                0.52431,                0.93674,               0.008944,               0.008944,               0.008944
                     34,                0.79043,                0.61221,                0.97367,                0.72255,                0.48239,                0.47691,                0.36066,                0.65104,                0.51643,                0.93175,               0.008911,               0.008911,               0.008911
                     35,                0.77814,                0.60368,                0.97117,                0.75882,                0.43844,                0.49438,                0.36851,                0.63872,                0.51213,                 0.9248,               0.008878,               0.008878,               0.008878
                     36,                0.77357,                0.59824,                0.96512,                0.80781,                0.44033,                0.50535,                0.38209,                0.64089,                0.50875,                0.92793,               0.008845,               0.008845,               0.008845
                     37,                0.76857,                0.59467,                0.96253,                0.71407,                0.48272,                0.49377,                0.35826,                0.64719,                0.51705,                0.92849,               0.008812,               0.008812,               0.008812
                     38,                0.76693,                0.59374,                0.96487,                0.77822,                0.46657,                 0.5206,                0.38771,                 0.6271,                0.50129,                0.91901,               0.008779,               0.008779,               0.008779
                     39,                0.75798,                 0.5849,                0.96286,                0.78828,                0.44738,                0.50561,                0.38051,                0.62639,                 0.4986,                0.91928,               0.008746,               0.008746,               0.008746
                     40,                0.75071,                0.58837,                0.95936,                0.75761,                 0.4824,                0.51315,                0.38225,                0.61558,                 0.4938,                0.91522,               0.008713,               0.008713,               0.008713
                     41,                0.75073,                0.57895,                0.95784,                 0.8108,                0.44347,                0.52667,                 0.3957,                0.60838,                0.48949,                0.91109,                0.00868,                0.00868,                0.00868
                     42,                0.74897,                0.57525,                0.95545,                0.79563,                0.47423,                  0.555,                 0.4153,                0.61326,                0.48439,                0.91175,               0.008647,               0.008647,               0.008647
                     43,                0.74058,                0.56872,                0.95395,                0.74827,                0.49931,                0.53399,                0.39615,                0.60136,                 0.4826,                0.90816,               0.008614,               0.008614,               0.008614
                     44,                0.73605,                 0.5636,                 0.9496,                0.67696,                0.54996,                0.58263,                0.42053,                0.60254,                0.47696,                0.90719,               0.008581,               0.008581,               0.008581
                     45,                0.73398,                0.56406,                0.94761,                0.67587,                0.54732,                0.56025,                0.42129,                0.59517,                 0.4715,                0.90446,               0.008548,               0.008548,               0.008548
                     46,                0.73089,                 0.5604,                0.94579,                0.70748,                0.54943,                0.56783,                0.41248,                0.59434,                0.47467,                0.90379,               0.008515,               0.008515,               0.008515
                     47,                 0.7287,                0.55698,                 0.9435,                0.82451,                0.46405,                0.58802,                0.43274,                0.58782,                0.46902,                0.89996,               0.008482,               0.008482,               0.008482
                     48,                0.72372,                0.55467,                0.94382,                0.82712,                0.46374,                0.56454,                0.42581,                0.57879,                0.46715,                0.89599,               0.008449,               0.008449,               0.008449
                     49,                0.72216,                0.55225,                0.94187,                0.53025,                0.53473,                0.54624,                0.41419,                0.57815,                0.46085,                0.89545,               0.008416,               0.008416,               0.008416
                     50,                0.70958,                   0.54,                0.93583,                0.78901,                0.49008,                 0.5682,                0.40757,                0.57741,                 0.4683,                 0.8948,               0.008383,               0.008383,               0.008383
                     51,                0.71226,                0.54449,                0.93545,                0.81017,                0.48578,                0.57831,                0.42761,                0.57194,                0.46315,                0.89414,                0.00835,                0.00835,                0.00835
                     52,                0.71175,                0.54518,                0.93595,                0.62725,                0.57554,                0.56665,                0.42762,                0.58119,                0.45925,                 0.8955,               0.008317,               0.008317,               0.008317
                     53,                0.70638,                0.53845,                0.93402,                0.75245,                0.52797,                0.57785,                0.42777,                0.56451,                0.44916,                 0.8881,               0.008284,               0.008284,               0.008284
                     54,                0.70149,                 0.5357,                0.93132,                0.85839,                0.46045,                0.59321,                0.43972,                0.56396,                0.44754,                0.88719,               0.008251,               0.008251,               0.008251
                     55,                0.69916,                0.52929,                0.92844,                0.60094,                 0.5449,                0.58413,                0.44058,                0.56243,                0.45176,                0.88528,               0.008218,               0.008218,               0.008218
                     56,                0.69131,                0.52383,                0.92578,                0.70994,                0.56363,                0.60473,                0.45287,                0.56324,                0.44815,                0.88622,               0.008185,               0.008185,               0.008185
                     57,                0.69392,                0.52814,                  0.929,                0.68387,                0.58981,                0.59108,                0.44405,                0.56528,                 0.4449,                0.88748,               0.008152,               0.008152,               0.008152
                     58,                0.69377,                0.52907,                0.92662,                0.65243,                0.58832,                0.65148,                0.47931,                0.55259,                0.43634,                0.88274,               0.008119,               0.008119,               0.008119
                     59,                0.68856,                0.52082,                0.92475,                0.84059,                 0.4946,                0.61917,                 0.4516,                0.55116,                0.43754,                0.88311,               0.008086,               0.008086,               0.008086
                     60,                0.68179,                 0.5172,                0.92403,                0.64924,                0.57291,                0.60632,                0.44826,                0.55435,                0.43832,                0.88094,               0.008053,               0.008053,               0.008053
                     61,                0.68458,                0.52029,                0.92383,                0.68751,                0.60869,                0.61569,                0.44786,                0.54154,                0.42963,                0.87661,                0.00802,                0.00802,                0.00802
                     62,                0.67658,                0.51383,                0.91825,                0.65132,                0.60753,                0.61381,                0.45928,                0.54375,                0.42953,                 0.8772,               0.007987,               0.007987,               0.007987
                     63,                0.68204,                0.51709,                0.92235,                 0.6416,                0.54105,                0.60933,                0.45779,                0.54069,                0.42938,                0.87646,               0.007954,               0.007954,               0.007954
                     64,                0.68046,                0.51398,                0.92181,                0.68727,                0.50428,                0.60276,                0.45884,                0.53552,                0.42867,                0.87497,               0.007921,               0.007921,               0.007921
                     65,                0.67424,                0.50882,                0.91896,                0.55893,                0.57716,                0.62486,                0.47214,                0.53468,                0.42181,                0.87298,               0.007888,               0.007888,               0.007888
                     66,                0.67477,                0.51023,                0.91775,                0.66993,                0.58747,                 0.6559,                 0.4737,                0.53478,                0.42454,                0.87305,               0.007855,               0.007855,               0.007855
                     67,                0.67037,                0.50652,                0.91835,                0.73085,                0.61122,                0.63817,                0.46769,                0.53046,                0.42051,                0.87205,               0.007822,               0.007822,               0.007822
                     68,                0.66782,                 0.5025,                0.91591,                0.72209,                0.61125,                 0.6415,                0.48373,                0.52572,                0.41541,                 0.8695,               0.007789,               0.007789,               0.007789
                     69,                 0.6664,                0.50355,                0.91409,                 0.6638,                0.63954,                0.63236,                0.47058,                 0.5251,                0.41242,                0.86997,               0.007756,               0.007756,               0.007756
                     70,                0.66187,                0.49644,                0.91496,                0.74879,                0.56475,                0.63471,                 0.4841,                0.52439,                0.41285,                0.86776,               0.007723,               0.007723,               0.007723
                     71,                0.65872,                0.49964,                0.91306,                0.80181,                0.55576,                 0.6386,                0.47879,                0.51856,                0.40709,                0.86731,                0.00769,                0.00769,                0.00769
                     72,                0.66032,                0.49281,                0.91085,                0.60808,                0.63665,                0.69587,                0.52549,                0.52289,                0.40962,                0.86908,               0.007657,               0.007657,               0.007657
                     73,                0.65615,                 0.4965,                0.90989,                0.65704,                0.54685,                0.62318,                0.46799,                0.52146,                0.41078,                0.86687,               0.007624,               0.007624,               0.007624
                     74,                0.65358,                0.49134,                0.90792,                0.58768,                0.56361,                0.61289,                0.47815,                 0.5181,                0.40879,                0.86618,               0.007591,               0.007591,               0.007591
                     75,                0.65148,                0.48944,                0.90603,                0.63527,                0.55016,                 0.6186,                 0.4806,                0.51635,                0.40818,                0.86391,               0.007558,               0.007558,               0.007558
                     76,                0.65233,                0.48894,                0.90745,                0.79166,                0.60179,                0.66023,                0.49308,                0.51406,                0.40493,                0.86284,               0.007525,               0.007525,               0.007525
                     77,                0.64787,                0.48787,                0.90495,                0.79441,                0.55032,                0.65001,                0.49771,                0.51423,                0.40199,                0.86257,               0.007492,               0.007492,               0.007492
                     78,                0.65309,                 0.4895,                0.90778,                0.60677,                 0.5599,                   0.62,                0.48193,                0.51345,                0.40374,                0.86382,               0.007459,               0.007459,               0.007459
                     79,                 0.6498,                0.48973,                0.90732,                0.86582,                0.53193,                0.64165,                0.50268,                0.51014,                0.39936,                0.86205,               0.007426,               0.007426,               0.007426
                     80,                0.64408,                0.48515,                0.90469,                0.57499,                0.58891,                0.64049,                0.49213,                0.50478,                0.40095,                 0.8611,               0.007393,               0.007393,               0.007393
                     81,                0.64448,                0.47742,                0.90239,                0.60339,                0.60084,                 0.6272,                0.49492,                0.50369,                0.39683,                0.86059,                0.00736,                0.00736,                0.00736
                     82,                0.64305,                0.48177,                0.90304,                0.82401,                0.52499,                 0.6552,                0.50508,                0.50175,                0.39313,                0.85918,               0.007327,               0.007327,               0.007327
                     83,                0.64476,                0.48436,                0.90301,                0.65387,                0.59867,                0.69159,                0.53311,                0.50115,                0.39276,                0.85837,               0.007294,               0.007294,               0.007294
                     84,                0.63887,                0.47858,                0.90308,                0.62228,                0.62587,                0.69748,                0.53774,                0.49686,                0.39084,                0.85665,               0.007261,               0.007261,               0.007261
                     85,                0.63678,                0.47875,                0.90101,                0.82428,                0.55071,                0.64664,                0.50152,                0.49768,                0.38791,                0.85684,               0.007228,               0.007228,               0.007228
                     86,                0.64224,                0.47762,                0.90021,                0.84633,                0.56074,                 0.6637,                0.51249,                0.49807,                0.39329,                0.85666,               0.007195,               0.007195,               0.007195
                     87,                0.63232,                 0.4724,                0.89955,                0.78022,                0.65242,                0.69374,                 0.5402,                0.49381,                0.38559,                0.85528,               0.007162,               0.007162,               0.007162
