                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8767,                 4.1532,                 3.9574,                0.00073,                0.00199,                0.00037,                  7e-05,                 3.8718,                 3.9631,                 3.7001,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.2195,                 3.0875,                 2.9906,                0.00187,                0.01543,                0.00112,                0.00036,                 3.5497,                 4.0809,                 3.5269,               0.040478,              0.0065893,              0.0065893
                      3,                 2.5312,                 2.2796,                 2.2452,                0.60935,                0.05597,                0.05992,                0.02868,                  2.036,                 2.0247,                 1.9367,               0.010434,              0.0098788,              0.0098788
                      4,                 1.9052,                 1.7117,                 1.7357,                0.51381,                0.13233,                0.11512,                0.06147,                 1.5569,                 1.4929,                 1.5564,               0.009901,               0.009901,               0.009901
                      5,                  1.576,                 1.4096,                 1.4856,                0.42165,                0.15986,                0.16103,                0.09115,                 1.3822,                 1.2086,                 1.4002,               0.009868,               0.009868,               0.009868
                      6,                 1.4019,                 1.2025,                 1.3616,                0.50712,                0.18205,                0.19995,                0.12117,                 1.2073,                 1.0536,                 1.2718,               0.009835,               0.009835,               0.009835
                      7,                 1.2866,                 1.0783,                 1.2804,                0.50414,                0.22508,                0.23328,                0.14787,                 1.1336,                0.90853,                 1.2124,               0.009802,               0.009802,               0.009802
                      8,                 1.2022,                 0.9953,                  1.227,                 0.4226,                0.26647,                0.25291,                0.16624,                 1.0354,                0.85577,                   1.16,               0.009769,               0.009769,               0.009769
                      9,                 1.1409,                0.93053,                 1.1901,                0.49833,                0.27602,                0.27499,                0.18228,                0.97884,                0.80504,                 1.1229,               0.009736,               0.009736,               0.009736
                     10,                 1.0789,                 0.8806,                 1.1645,                0.45383,                 0.3004,                0.30444,                0.20335,                0.92421,                0.74005,                 1.0927,               0.009703,               0.009703,               0.009703
                     11,                 1.0472,                0.84224,                 1.1425,                 0.4324,                0.31896,                0.31346,                0.21384,                0.88447,                0.72595,                 1.0762,                0.00967,                0.00967,                0.00967
                     12,                  1.015,                0.80803,                 1.1224,                0.55676,                0.33498,                0.32158,                0.21899,                0.85268,                0.69287,                 1.0577,               0.009637,               0.009637,               0.009637
                     13,                0.98365,                0.78582,                 1.1092,                 0.5219,                0.33619,                0.33012,                0.23315,                0.84564,                0.68067,                 1.0547,               0.009604,               0.009604,               0.009604
                     14,                0.95995,                0.76602,                 1.0947,                0.63882,                0.32212,                0.34631,                0.23761,                0.82989,                 0.6696,                 1.0448,               0.009571,               0.009571,               0.009571
                     15,                0.94878,                0.74377,                 1.0851,                0.71591,                0.34809,                0.37068,                 0.2603,                0.79149,                0.63165,                  1.025,               0.009538,               0.009538,               0.009538
                     16,                0.91726,                0.72373,                 1.0735,                0.68304,                0.39339,                0.38113,                0.26718,                  0.773,                0.62874,                 1.0208,               0.009505,               0.009505,               0.009505
                     17,                0.90706,                0.70588,                 1.0638,                0.70917,                0.39182,                0.40045,                0.28956,                0.76075,                0.60102,                 1.0119,               0.009472,               0.009472,               0.009472
                     18,                0.88377,                0.68668,                 1.0509,                0.76634,                0.38042,                0.39443,                0.28791,                0.74566,                0.60041,                 1.0004,               0.009439,               0.009439,               0.009439
                     19,                0.87585,                0.68561,                   1.05,                0.65164,                0.38125,                 0.3881,                0.27788,                0.75177,                 0.5845,                 1.0023,               0.009406,               0.009406,               0.009406
                     20,                0.86044,                0.66574,                 1.0407,                 0.7189,                 0.3675,                0.41782,                0.30671,                0.71828,                0.56734,                0.99056,               0.009373,               0.009373,               0.009373
                     21,                0.84778,                0.65423,                 1.0342,                0.74951,                0.38417,                0.42914,                0.30843,                0.71386,                0.55646,                0.99199,                0.00934,                0.00934,                0.00934
                     22,                0.84387,                0.64898,                 1.0292,                0.81929,                0.39118,                0.44874,                0.33167,                 0.6942,                0.54939,                0.97693,               0.009307,               0.009307,               0.009307
                     23,                0.82473,                 0.6353,                 1.0256,                0.71305,                0.46543,                0.46155,                0.33927,                0.67897,                0.52921,                0.97158,               0.009274,               0.009274,               0.009274
                     24,                0.81581,                0.62702,                 1.0188,                0.77514,                0.41582,                0.46043,                0.33924,                0.67586,                 0.5256,                0.97135,               0.009241,               0.009241,               0.009241
                     25,                 0.8051,                0.61895,                 1.0112,                0.70973,                0.45368,                0.45645,                0.34405,                0.66425,                0.52053,                0.96249,               0.009208,               0.009208,               0.009208
                     26,                0.79929,                0.60817,                 1.0094,                0.72387,                0.43535,                0.46625,                0.35585,                0.65235,                0.51774,                0.95893,               0.009175,               0.009175,               0.009175
                     27,                0.78802,                0.59905,                 1.0007,                0.84069,                0.40062,                0.47844,                0.35994,                 0.6467,                 0.5136,                0.95522,               0.009142,               0.009142,               0.009142
                     28,                0.78266,                0.59425,                0.99947,                0.74347,                0.44388,                0.47504,                0.35602,                0.64247,                0.50377,                 0.9531,               0.009109,               0.009109,               0.009109
                     29,                0.77294,                 0.5885,                0.99563,                0.77738,                0.42195,                0.47289,                0.35206,                  0.636,                0.49599,                0.94867,               0.009076,               0.009076,               0.009076
                     30,                0.77062,                0.58273,                0.99502,                0.72985,                0.46446,                0.48469,                0.36938,                0.62861,                0.49626,                0.94504,               0.009043,               0.009043,               0.009043
                     31,                0.76002,                0.58033,                0.98854,                 0.7909,                0.44398,                0.49415,                0.37276,                0.62645,                0.48835,                0.94811,                0.00901,                0.00901,                0.00901
