                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9176,                 4.1706,                 3.8099,                 0.0004,                0.01076,                0.00029,                0.00012,                 3.8428,                 3.8381,                 3.4633,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.2121,                 3.0526,                 2.8354,                0.00184,                0.00098,                0.00093,                0.00031,                 3.6953,                 4.1571,                 3.3937,               0.040478,              0.0065893,              0.0065893
                      3,                 2.4742,                 2.2243,                 2.1315,                0.43615,                0.05029,                0.05062,                0.02386,                  2.095,                 2.3788,                 1.8943,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8844,                 1.7062,                  1.677,                0.43329,                0.10141,                0.11631,                0.06293,                 1.6004,                 1.4703,                 1.5251,               0.009901,               0.009901,               0.009901
                      5,                   1.57,                 1.4004,                 1.4598,                0.31979,                0.14172,                0.14218,                0.07919,                 1.4579,                 1.3502,                 1.4058,               0.009868,               0.009868,               0.009868
                      6,                 1.4144,                 1.2191,                 1.3515,                0.31872,                0.20601,                0.19762,                0.11994,                 1.2048,                 1.1223,                 1.2664,               0.009835,               0.009835,               0.009835
                      7,                 1.3031,                 1.1049,                 1.2782,                0.48381,                 0.2146,                0.21272,                0.13406,                 1.1349,                0.97962,                  1.203,               0.009802,               0.009802,               0.009802
                      8,                 1.2166,                 1.0214,                 1.2265,                0.46411,                0.24979,                0.24868,                0.16197,                 1.0408,                0.85883,                 1.1502,               0.009769,               0.009769,               0.009769
                      9,                 1.1647,                 0.9559,                 1.1923,                0.50461,                0.22537,                0.25297,                0.16784,                0.98788,                0.86868,                 1.1274,               0.009736,               0.009736,               0.009736
                     10,                  1.106,                0.90913,                  1.169,                0.43827,                0.29829,                  0.277,                0.18534,                0.94904,                0.78367,                 1.0993,               0.009703,               0.009703,               0.009703
                     11,                 1.0732,                0.87217,                 1.1484,                0.35475,                0.31339,                0.30455,                0.20519,                0.91221,                0.75171,                 1.0825,                0.00967,                0.00967,                0.00967
                     12,                 1.0433,                0.83645,                 1.1288,                0.38673,                0.33791,                 0.3279,                0.22115,                0.86849,                 0.7214,                 1.0568,               0.009637,               0.009637,               0.009637
                     13,                 1.0077,                0.80998,                 1.1152,                 0.3438,                0.35536,                0.33335,                0.23099,                0.87893,                0.70024,                 1.0558,               0.009604,               0.009604,               0.009604
