                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7528,                 4.0878,                 3.8591,                      0,                      0,                      0,                      0,                  3.874,                 4.0519,                 3.7293,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.2197,                 3.1113,                 2.9411,                0.00289,                0.00052,                0.00146,                0.00057,                 3.7033,                 4.6164,                 3.6518,               0.040478,              0.0065893,              0.0065893
                      3,                 2.5764,                 2.4013,                   2.23,                0.61908,                0.05157,                0.04574,                 0.0186,                 2.3974,                 2.2387,                 2.1468,               0.010434,              0.0098788,              0.0098788
                      4,                 2.0173,                 1.8702,                   1.77,                0.50142,                0.09657,                0.08942,                 0.0447,                  1.782,                 1.7141,                 1.6287,               0.009901,               0.009901,               0.009901
                      5,                 1.7024,                 1.5814,                 1.5312,                0.44941,                 0.1333,                0.14334,                0.07805,                 1.4964,                 1.3493,                  1.424,               0.009868,               0.009868,               0.009868
                      6,                 1.5231,                 1.3739,                 1.4041,                0.47367,                0.16482,                0.17575,                0.10379,                 1.3261,                 1.2209,                 1.3228,               0.009835,               0.009835,               0.009835
                      7,                 1.4089,                 1.2412,                 1.3244,                0.48958,                0.19817,                0.21954,                0.13343,                 1.2328,                 1.0601,                 1.2534,               0.009802,               0.009802,               0.009802
                      8,                 1.3175,                 1.1407,                 1.2702,                0.35518,                0.22736,                0.23618,                0.14867,                 1.1417,                0.98494,                 1.1983,               0.009769,               0.009769,               0.009769
                      9,                 1.2566,                 1.0641,                 1.2288,                0.49605,                0.24411,                0.26001,                0.16333,                 1.0773,                0.92205,                 1.1597,               0.009736,               0.009736,               0.009736
                     10,                 1.1847,                0.99861,                 1.1975,                 0.3218,                0.28832,                0.27365,                0.17871,                  1.032,                0.86559,                 1.1346,               0.009703,               0.009703,               0.009703
                     11,                 1.1483,                0.95552,                 1.1741,                0.56504,                0.28019,                0.30041,                0.19402,                 1.0161,                0.85367,                 1.1179,                0.00967,                0.00967,                0.00967
                     12,                 1.1076,                0.91404,                  1.148,                0.55666,                0.30714,                0.30555,                0.19926,                0.95055,                0.79258,                 1.0875,               0.009637,               0.009637,               0.009637
                     13,                  1.072,                0.88397,                 1.1333,                0.51491,                0.32113,                0.32516,                0.22087,                0.92111,                0.76607,                 1.0679,               0.009604,               0.009604,               0.009604
