                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7655,                 4.1347,                 3.9015,                      0,                      0,                      0,                      0,                 3.8732,                 4.0832,                 3.7059,                 0.0705,              0.0032778,              0.0032778
                      2,                  3.273,                 3.1836,                 2.9776,                0.00412,                0.00997,                0.00259,                0.00083,                 3.6448,                 4.3236,                  3.502,               0.040478,              0.0065893,              0.0065893
                      3,                 2.7373,                 2.5244,                  2.342,                0.41669,                0.03819,                0.02859,                0.01241,                 2.3459,                 2.8351,                 2.1272,               0.010434,              0.0098788,              0.0098788
                      4,                 2.1431,                 1.9541,                 1.8521,                0.34525,                0.06598,                0.07267,                0.03453,                 1.9377,                 1.7596,                 1.7493,               0.009901,               0.009901,               0.009901
                      5,                 1.8182,                 1.6453,                  1.602,                0.26038,                0.12808,                0.11097,                 0.0582,                 1.6235,                 1.5311,                 1.5161,               0.009868,               0.009868,               0.009868
                      6,                 1.6193,                 1.4407,                 1.4596,                 0.4405,                0.13415,                0.14919,                0.08252,                 1.4258,                 1.3935,                 1.3841,               0.009835,               0.009835,               0.009835
                      7,                 1.4988,                 1.3069,                 1.3755,                 0.4565,                0.16327,                 0.1891,                0.10816,                 1.3184,                 1.1475,                 1.2996,               0.009802,               0.009802,               0.009802
                      8,                 1.3968,                 1.2025,                 1.3137,                 0.4783,                0.18982,                0.21858,                0.12941,                 1.2228,                 1.0733,                 1.2414,               0.009769,               0.009769,               0.009769
                      9,                 1.3297,                 1.1268,                  1.269,                0.34067,                0.22114,                0.23374,                0.13829,                 1.1535,                0.99662,                 1.2016,               0.009736,               0.009736,               0.009736
                     10,                 1.2608,                 1.0661,                 1.2385,                0.42542,                0.24217,                 0.2432,                0.15137,                 1.1095,                0.94833,                 1.1769,               0.009703,               0.009703,               0.009703
                     11,                 1.2148,                 1.0145,                  1.206,                0.34998,                0.26728,                0.27569,                0.16947,                 1.0701,                0.89908,                 1.1449,                0.00967,                0.00967,                0.00967
                     12,                 1.1725,                0.96958,                 1.1766,                0.32647,                0.30086,                0.28141,                0.17853,                0.99994,                0.85428,                 1.1039,               0.009637,               0.009637,               0.009637
                     13,                 1.1294,                 0.9309,                 1.1525,                0.48474,                0.31922,                0.29859,                0.19414,                0.98204,                0.81499,                 1.0924,               0.009604,               0.009604,               0.009604
                     14,                 1.0993,                0.90368,                 1.1311,                0.51829,                0.27925,                0.30584,                0.20545,                0.93629,                0.79874,                  1.066,               0.009571,               0.009571,               0.009571
                     15,                  1.074,                  0.871,                 1.1142,                0.54015,                0.31393,                  0.312,                0.20294,                0.93042,                0.78066,                 1.0569,               0.009538,               0.009538,               0.009538
                     16,                 1.0399,                 0.8472,                 1.0975,                0.67762,                0.32688,                 0.3228,                0.21648,                0.90883,                0.74708,                 1.0499,               0.009505,               0.009505,               0.009505
                     17,                 1.0223,                0.82697,                 1.0834,                0.65223,                0.33213,                0.34113,                0.23285,                0.87425,                0.73308,                 1.0304,               0.009472,               0.009472,               0.009472
                     18,                0.99541,                0.80155,                 1.0702,                0.69771,                 0.3309,                0.34501,                0.24013,                0.83892,                0.69862,                 1.0139,               0.009439,               0.009439,               0.009439
                     19,                0.98693,                0.79534,                 1.0662,                0.61069,                0.36994,                0.34918,                0.24265,                0.81697,                0.67864,                0.99991,               0.009406,               0.009406,               0.009406
                     20,                0.96384,                0.77382,                 1.0533,                0.64724,                0.38227,                0.36888,                0.25412,                0.80728,                0.66858,                0.99868,               0.009373,               0.009373,               0.009373
                     21,                0.95469,                0.76215,                 1.0489,                0.68013,                0.38475,                0.38428,                0.26794,                0.79208,                0.65389,                0.98815,                0.00934,                0.00934,                0.00934
                     22,                 0.9444,                0.75291,                 1.0399,                0.69361,                0.35633,                0.37389,                0.26219,                0.78246,                0.65572,                0.98424,               0.009307,               0.009307,               0.009307
