                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.875,                 4.1513,                 3.8613,                      0,                      0,                      0,                      0,                 3.8645,                 3.9897,                 3.6068,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1397,                 2.9813,                 2.8911,                0.00686,                0.01144,                0.00378,                0.00166,                 3.5149,                 4.2281,                 3.4263,               0.040478,              0.0065893,              0.0065893
                      3,                 2.4115,                 2.1587,                 2.1449,                  0.393,                 0.0599,                0.06791,                0.03206,                 1.9843,                 2.3688,                 1.8734,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8708,                 1.6841,                 1.7029,                  0.251,                 0.1061,                0.10326,                0.05478,                  1.584,                 1.7813,                 1.5492,               0.009901,               0.009901,               0.009901
                      5,                 1.5677,                 1.4061,                 1.4764,                0.31237,                0.16319,                0.15945,                0.09242,                 1.3551,                 1.1893,                  1.364,               0.009868,               0.009868,               0.009868
                      6,                 1.3924,                 1.2046,                 1.3565,                0.35219,                0.19652,                0.19219,                0.11708,                 1.2028,                  1.114,                 1.2708,               0.009835,               0.009835,               0.009835
                      7,                 1.2887,                 1.0947,                 1.2835,                0.32847,                0.22429,                0.20889,                0.13038,                 1.1285,                0.97648,                 1.2185,               0.009802,               0.009802,               0.009802
                      8,                 1.2019,                 1.0133,                 1.2312,                0.52192,                0.20969,                0.23927,                0.15358,                 1.0398,                0.86271,                  1.156,               0.009769,               0.009769,               0.009769
                      9,                 1.1592,                0.95497,                 1.1996,                0.51173,                0.25453,                0.26313,                0.17009,                0.97441,                0.82611,                 1.1221,               0.009736,               0.009736,               0.009736
                     10,                 1.0963,                0.90771,                 1.1753,                 0.4242,                0.30769,                0.28575,                0.18932,                0.96674,                0.77402,                 1.1152,               0.009703,               0.009703,               0.009703
                     11,                 1.0681,                0.87183,                  1.156,                0.43833,                 0.3198,                0.29554,                0.19417,                 0.9444,                0.77487,                 1.1013,                0.00967,                0.00967,                0.00967
                     12,                 1.0381,                0.83937,                  1.136,                 0.5998,                0.29853,                0.30124,                0.20467,                0.87343,                0.72672,                 1.0676,               0.009637,               0.009637,               0.009637
                     13,                   1.01,                0.81771,                 1.1249,                0.41383,                0.35163,                0.30692,                0.21152,                0.87308,                0.70358,                 1.0646,               0.009604,               0.009604,               0.009604
                     14,                0.98841,                0.79702,                 1.1105,                0.51503,                0.34993,                0.33296,                0.22192,                0.81998,                0.68506,                 1.0414,               0.009571,               0.009571,               0.009571
                     15,                0.97228,                0.77712,                 1.0997,                0.57599,                0.34461,                0.35297,                0.24378,                0.82346,                0.66126,                 1.0394,               0.009538,               0.009538,               0.009538
                     16,                0.95054,                0.75675,                 1.0895,                0.51828,                0.34278,                0.35433,                0.23947,                0.80888,                 0.6616,                 1.0358,               0.009505,               0.009505,               0.009505
