                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.797,                 4.0518,                    3.8,                      0,                      0,                      0,                      0,                 3.8618,                 4.0489,                 3.5979,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.2654,                 3.1101,                 2.8834,                0.00135,                0.01414,                0.00077,                0.00026,                 3.4908,                 4.1881,                 3.3242,               0.040478,              0.0065893,              0.0065893
                      3,                 2.6309,                  2.443,                 2.2491,                0.28294,                0.03158,                0.02197,                0.00962,                 2.2167,                  3.237,                 2.0312,               0.010434,              0.0098788,              0.0098788
                      4,                 2.0539,                 1.9016,                 1.7921,                0.23607,                0.08446,                0.07524,                0.03809,                 1.8395,                 1.7576,                 1.6987,               0.009901,               0.009901,               0.009901
                      5,                 1.7526,                 1.6336,                 1.5672,                0.27957,                0.14316,                0.12272,                0.06563,                 1.5826,                 1.5069,                 1.5001,               0.009868,               0.009868,               0.009868
                      6,                 1.5966,                 1.4279,                 1.4497,                0.44351,                0.13704,                0.15432,                0.08645,                 1.3996,                  1.318,                 1.3645,               0.009835,               0.009835,               0.009835
                      7,                  1.479,                 1.3048,                 1.3656,                0.46687,                0.19631,                0.19197,                0.11371,                 1.2614,                  1.102,                 1.2674,               0.009802,               0.009802,               0.009802
                      8,                 1.3807,                 1.2041,                 1.3048,                0.45419,                 0.1904,                0.20487,                0.12173,                 1.2016,                 1.0545,                 1.2299,               0.009769,               0.009769,               0.009769
                      9,                 1.3211,                 1.1253,                 1.2617,                0.42146,                0.24259,                0.22697,                0.13361,                 1.1436,                 1.0419,                 1.1998,               0.009736,               0.009736,               0.009736
                     10,                 1.2433,                 1.0642,                 1.2289,                0.45567,                0.21366,                0.24693,                0.15327,                 1.0761,                0.92656,                 1.1522,               0.009703,               0.009703,               0.009703
                     11,                 1.2034,                 1.0154,                 1.2006,                0.27489,                0.27343,                0.26674,                 0.1671,                  1.036,                0.88563,                 1.1294,                0.00967,                0.00967,                0.00967
                     12,                 1.1668,                 0.9727,                  1.178,                0.42035,                0.30039,                0.26874,                 0.1727,                 1.0088,                0.86101,                 1.1189,               0.009637,               0.009637,               0.009637
                     13,                 1.1256,                0.94124,                 1.1584,                0.45485,                0.26629,                0.28641,                0.18687,                0.97414,                0.81691,                 1.0903,               0.009604,               0.009604,               0.009604
                     14,                 1.1001,                0.91252,                 1.1419,                0.49262,                0.26015,                0.29523,                 0.1927,                0.93225,                0.80797,                 1.0739,               0.009571,               0.009571,               0.009571
                     15,                 1.0815,                 0.8834,                 1.1271,                0.55044,                 0.2959,                0.31056,                0.20998,                0.91094,                0.76769,                 1.0636,               0.009538,               0.009538,               0.009538
                     16,                 1.0495,                0.85746,                 1.1151,                0.65166,                0.32727,                0.32731,                0.22302,                0.89551,                0.75727,                 1.0585,               0.009505,               0.009505,               0.009505
                     17,                 1.0348,                0.83893,                 1.1036,                0.65712,                 0.3331,                0.33072,                0.22512,                0.88332,                 0.7339,                 1.0493,               0.009472,               0.009472,               0.009472
                     18,                 1.0111,                0.82137,                 1.0925,                0.77019,                0.30734,                0.34714,                0.23986,                0.85531,                0.71062,                 1.0359,               0.009439,               0.009439,               0.009439
                     19,                 1.0031,                0.81522,                 1.0907,                0.69117,                 0.3603,                0.35519,                0.24619,                0.83948,                 0.6991,                  1.027,               0.009406,               0.009406,               0.009406
                     20,                0.97965,                0.79171,                 1.0751,                0.68946,                0.34883,                0.34901,                0.23907,                0.84882,                0.70183,                 1.0286,               0.009373,               0.009373,               0.009373
                     21,                0.96873,                 0.7792,                 1.0698,                0.65663,                 0.3254,                0.34732,                0.24234,                0.81721,                0.68899,                 1.0153,                0.00934,                0.00934,                0.00934
                     22,                0.96358,                0.77189,                 1.0629,                 0.6836,                0.37715,                0.38631,                0.27325,                0.79839,                  0.666,                 1.0083,               0.009307,               0.009307,               0.009307
                     23,                0.94343,                0.75864,                 1.0583,                0.64719,                0.39339,                0.37868,                0.27003,                0.79936,                0.65062,                 1.0043,               0.009274,               0.009274,               0.009274
