                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8255,                 4.1805,                 3.9146,                0.00014,                0.01974,                0.00014,                  5e-05,                 3.8678,                 4.0035,                  3.715,                 0.0705,              0.0032778,              0.0032778
                      2,                  3.188,                 3.0856,                 2.9563,                0.00248,                 0.0057,                0.00134,                0.00048,                 3.6009,                  4.379,                 3.5705,               0.040478,              0.0065893,              0.0065893
                      3,                 2.5103,                  2.271,                 2.1995,                0.75149,                0.05902,                0.06492,                0.02998,                 2.0216,                 2.7068,                 1.9115,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8682,                  1.695,                 1.7083,                0.51763,                0.10539,                0.11012,                0.05886,                 1.6342,                 1.5003,                 1.5697,               0.009901,               0.009901,               0.009901
                      5,                 1.5577,                 1.3723,                 1.4663,                0.59545,                0.14612,                0.16456,                0.09506,                 1.3504,                 1.1623,                 1.3704,               0.009868,               0.009868,               0.009868
                      6,                 1.3774,                 1.1912,                 1.3513,                0.61978,                0.21465,                0.20989,                0.12783,                 1.1955,                 1.0163,                 1.2519,               0.009835,               0.009835,               0.009835
                      7,                 1.2689,                 1.0752,                 1.2684,                0.49341,                0.21176,                0.23247,                0.14243,                  1.128,                0.94495,                 1.2147,               0.009802,               0.009802,               0.009802
                      8,                 1.1733,                0.98356,                 1.2195,                0.45948,                0.24547,                 0.2432,                0.15395,                 1.0399,                0.87695,                 1.1568,               0.009769,               0.009769,               0.009769
                      9,                 1.1275,                0.92556,                 1.1821,                0.46891,                0.27052,                 0.2701,                0.17864,                0.95509,                0.78366,                 1.1108,               0.009736,               0.009736,               0.009736
                     10,                 1.0768,                 0.8779,                 1.1616,                0.42637,                0.32313,                0.29406,                0.19839,                0.93101,                0.73763,                 1.0958,               0.009703,               0.009703,               0.009703
                     11,                 1.0345,                0.83026,                 1.1311,                0.58987,                0.32534,                0.31254,                0.21134,                0.85619,                0.72327,                 1.0637,                0.00967,                0.00967,                0.00967
                     12,                 1.0029,                0.79933,                 1.1175,                0.72783,                 0.3121,                 0.3272,                0.22347,                0.84488,                0.67949,                 1.0549,               0.009637,               0.009637,               0.009637
                     13,                0.98191,                0.77466,                 1.1028,                0.61984,                0.38758,                0.34155,                0.23634,                0.82075,                0.66599,                 1.0477,               0.009604,               0.009604,               0.009604
                     14,                0.95184,                0.75128,                 1.0875,                0.71871,                0.33058,                0.35213,                0.25041,                0.80181,                 0.6385,                 1.0312,               0.009571,               0.009571,               0.009571
                     15,                0.91896,                0.73044,                 1.0709,                0.70534,                 0.3698,                 0.3697,                0.26599,                0.78762,                0.61363,                 1.0225,               0.009538,               0.009538,               0.009538
                     16,                0.90709,                0.72483,                 1.0728,                0.73671,                0.32672,                0.38645,                0.27598,                0.75322,                0.59122,                 1.0076,               0.009505,               0.009505,               0.009505
                     17,                0.90593,                 0.7052,                  1.062,                 0.6985,                0.38822,                0.38813,                0.27573,                0.74912,                0.59299,                 1.0075,               0.009472,               0.009472,               0.009472
                     18,                0.87571,                0.68649,                 1.0517,                0.69961,                0.35416,                0.39964,                0.28753,                0.72834,                0.57621,                0.99334,               0.009439,               0.009439,               0.009439
                     19,                0.85917,                0.67208,                  1.049,                0.66444,                0.40785,                0.41367,                0.30205,                0.70577,                0.56771,                0.99277,               0.009406,               0.009406,               0.009406
                     20,                0.84418,                0.65465,                 1.0375,                0.68858,                0.42829,                0.42497,                0.30826,                0.70535,                0.55434,                0.98477,               0.009373,               0.009373,               0.009373
                     21,                0.83246,                0.63948,                 1.0277,                0.72418,                0.41262,                0.42498,                0.31162,                0.69263,                0.54204,                0.98015,                0.00934,                0.00934,                0.00934
                     22,                0.83361,                0.64502,                 1.0272,                0.77812,                0.42553,                0.45362,                0.33105,                   0.69,                0.53162,                0.97962,               0.009307,               0.009307,               0.009307
                     23,                 0.8137,                0.63203,                 1.0218,                0.74905,                0.40879,                 0.4421,                0.32398,                0.68738,                 0.5629,                0.97411,               0.009274,               0.009274,               0.009274
                     24,                0.81065,                0.62804,                 1.0196,                0.68933,                0.44641,                0.44852,                 0.3354,                0.66704,                0.51358,                0.96626,               0.009241,               0.009241,               0.009241
                     25,                0.80741,                0.62007,                 1.0142,                0.71543,                0.43053,                0.45079,                0.34128,                0.65206,                0.51175,                0.95646,               0.009208,               0.009208,               0.009208
                     26,                0.79834,                0.61244,                 1.0105,                 0.7221,                0.43566,                0.45205,                0.34193,                0.64389,                0.51211,                0.95487,               0.009175,               0.009175,               0.009175
                     27,                0.78402,                0.60185,                 1.0034,                0.76195,                0.40553,                0.46322,                0.34957,                0.66301,                 0.5208,                 0.9587,               0.009142,               0.009142,               0.009142
                     28,                 0.7781,                0.58871,                0.99631,                0.78957,                0.43971,                0.48631,                0.36185,                 0.6332,                0.49963,                0.95081,               0.009109,               0.009109,               0.009109
                     29,                0.76584,                0.59048,                0.99839,                0.75187,                0.43509,                0.48818,                0.36827,                0.62444,                0.48238,                0.94556,               0.009076,               0.009076,               0.009076
                     30,                0.75724,                0.58563,                0.99261,                0.76241,                 0.4372,                0.50539,                0.37603,                0.61903,                0.48343,                 0.9448,               0.009043,               0.009043,               0.009043
                     31,                0.76197,                0.57728,                0.98893,                0.79796,                0.44488,                0.48261,                0.36257,                0.62388,                0.48508,                0.94433,                0.00901,                0.00901,                0.00901
