                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.751,                 4.1298,                 3.8714,                      0,                      0,                      0,                      0,                  3.856,                 4.0411,                   3.65,                 0.0705,              0.0032778,              0.0032778
                      2,                  3.103,                 2.9259,                 2.8541,                0.00677,                0.03012,                0.00611,                 0.0016,                  3.383,                 3.7842,                 3.2732,               0.040478,              0.0065893,              0.0065893
                      3,                  2.378,                 2.0997,                 2.1413,                0.76032,                0.06033,                0.07112,                0.03428,                 1.9604,                 2.0448,                  1.877,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8192,                 1.6513,                 1.7032,                0.68455,                0.12508,                0.12191,                0.06577,                 1.5403,                 1.4493,                 1.5509,               0.009901,               0.009901,               0.009901
                      5,                 1.5267,                  1.356,                 1.4689,                 0.6959,                0.18646,                0.17293,                0.09936,                 1.3069,                 1.2425,                 1.3688,               0.009868,               0.009868,               0.009868
                      6,                 1.3471,                 1.1779,                 1.3506,                0.59942,                0.23508,                  0.215,                0.13237,                 1.1409,                0.99478,                 1.2417,               0.009835,               0.009835,               0.009835
                      7,                 1.2501,                 1.0593,                 1.2746,                0.47695,                0.22971,                0.23724,                0.14354,                  1.068,                0.97121,                 1.1967,               0.009802,               0.009802,               0.009802
                      8,                  1.157,                0.98041,                 1.2273,                0.38189,                0.25791,                0.26645,                0.16939,                0.99566,                0.83624,                 1.1579,               0.009769,               0.009769,               0.009769
                      9,                  1.116,                0.91233,                 1.1917,                0.41735,                0.30185,                0.28675,                0.18403,                0.94533,                0.78423,                 1.1271,               0.009736,               0.009736,               0.009736
                     10,                 1.0695,                0.87002,                 1.1742,                0.48143,                0.31218,                0.31916,                0.21211,                0.91756,                0.75725,                 1.0979,               0.009703,               0.009703,               0.009703
                     11,                 1.0301,                0.82994,                 1.1428,                0.41052,                0.31814,                 0.3126,                0.21289,                0.86139,                0.70373,                 1.0802,                0.00967,                0.00967,                0.00967
                     12,                 0.9998,                0.79074,                 1.1281,                0.60466,                0.33765,                0.34353,                0.23579,                0.84519,                0.67451,                 1.0703,               0.009637,               0.009637,               0.009637
                     13,                0.97328,                0.76581,                 1.1097,                0.49246,                0.36613,                0.36384,                 0.2522,                0.81013,                 0.6506,                 1.0462,               0.009604,               0.009604,               0.009604
                     14,                0.94634,                0.74435,                 1.0939,                0.54983,                0.39103,                0.37977,                0.26356,                0.80389,                0.63904,                 1.0414,               0.009571,               0.009571,               0.009571
                     15,                0.91618,                0.72613,                 1.0843,                0.70805,                0.35114,                0.37665,                 0.2732,                0.76801,                0.60958,                 1.0265,               0.009538,               0.009538,               0.009538
                     16,                0.90094,                 0.7158,                 1.0783,                0.66837,                0.36897,                 0.3605,                 0.2577,                0.75613,                0.61184,                 1.0199,               0.009505,               0.009505,               0.009505
                     17,                0.90152,                0.69695,                 1.0697,                0.67478,                0.39329,                0.40135,                0.29165,                0.74347,                 0.5912,                 1.0155,               0.009472,               0.009472,               0.009472
                     18,                0.87432,                0.68391,                  1.058,                0.76667,                0.38475,                0.41822,                0.30138,                0.72124,                0.58089,                 1.0019,               0.009439,               0.009439,               0.009439
                     19,                0.84952,                0.66958,                 1.0549,                0.72122,                0.38886,                 0.4262,                0.31529,                0.69634,                0.55569,                0.99359,               0.009406,               0.009406,               0.009406
                     20,                0.84004,                0.65312,                 1.0449,                0.73113,                0.41645,                 0.4245,                0.30999,                0.69746,                0.55833,                0.98933,               0.009373,               0.009373,               0.009373
                     21,                0.83015,                 0.6376,                 1.0352,                0.80514,                0.37089,                0.43099,                0.31984,                0.68169,                0.54248,                0.98123,                0.00934,                0.00934,                0.00934
                     22,                0.83171,                0.64249,                 1.0356,                0.75382,                0.41521,                 0.4562,                0.33258,                0.68128,                0.53959,                0.98115,               0.009307,               0.009307,               0.009307
                     23,                0.81198,                0.63198,                 1.0324,                0.75749,                0.41224,                0.46063,                0.34044,                0.66781,                0.52662,                0.97776,               0.009274,               0.009274,               0.009274
                     24,                0.81028,                0.62589,                 1.0281,                0.79091,                0.41028,                0.48055,                 0.3535,                0.66475,                0.52409,                0.97668,               0.009241,               0.009241,               0.009241
                     25,                0.80337,                0.61177,                 1.0225,                0.70572,                0.43209,                0.46856,                0.35472,                0.65242,                0.51123,                0.96418,               0.009208,               0.009208,               0.009208
                     26,                0.79403,                0.60853,                 1.0182,                0.82031,                0.43349,                0.48959,                0.36567,                0.64546,                0.51369,                0.96577,               0.009175,               0.009175,               0.009175
                     27,                0.78618,                0.59787,                 1.0139,                0.76106,                0.43109,                0.49332,                0.37029,                0.64494,                0.50284,                0.96074,               0.009142,               0.009142,               0.009142
                     28,                0.77567,                0.58556,                 1.0048,                0.78065,                0.40656,                0.48153,                0.36384,                0.62758,                0.49636,                0.95666,               0.009109,               0.009109,               0.009109
                     29,                0.76416,                0.58788,                  1.007,                0.76082,                0.44967,                0.51637,                 0.3836,                0.62835,                0.49277,                0.95417,               0.009076,               0.009076,               0.009076
                     30,                0.75625,                0.57643,                 0.9984,                0.76132,                0.44899,                0.51499,                0.38899,                0.61453,                0.47551,                0.94916,               0.009043,               0.009043,               0.009043
                     31,                0.75736,                 0.5778,                0.99477,                0.83814,                0.43785,                0.50455,                0.37916,                0.62271,                0.48181,                0.94971,                0.00901,                0.00901,                0.00901
                     32,                0.74505,                0.56266,                 0.9894,                0.80427,                0.44053,                0.51879,                0.39267,                0.59794,                0.46411,                0.94072,               0.008977,               0.008977,               0.008977
                     33,                0.74434,                 0.5515,                0.98792,                0.77173,                0.46667,                0.51694,                 0.3947,                0.60047,                0.47008,                0.94081,               0.008944,               0.008944,               0.008944
                     34,                0.73823,                0.56086,                0.98843,                0.78543,                0.48064,                0.52767,                0.40064,                0.60017,                0.46192,                 0.9409,               0.008911,               0.008911,               0.008911
                     35,                0.73577,                  0.553,                0.98801,                0.78433,                0.47508,                0.53728,                0.40701,                0.59323,                0.46443,                0.93783,               0.008878,               0.008878,               0.008878
                     36,                0.73142,                0.55122,                0.98429,                0.77753,                 0.4876,                0.55592,                0.40606,                0.59054,                0.46525,                0.93874,               0.008845,               0.008845,               0.008845
                     37,                0.72252,                0.54335,                0.97963,                0.81953,                0.46731,                0.55975,                0.41835,                0.58256,                0.45219,                0.93295,               0.008812,               0.008812,               0.008812
                     38,                0.72041,                0.54259,                0.98249,                0.80524,                0.47681,                0.53917,                0.40375,                 0.5774,                0.45057,                0.93262,               0.008779,               0.008779,               0.008779
                     39,                0.72149,                0.54406,                0.98729,                0.78663,                0.47022,                0.54349,                0.41615,                0.57568,                0.45038,                0.92906,               0.008746,               0.008746,               0.008746
