                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8636,                 4.1737,                 3.8799,                      0,                      0,                      0,                      0,                 3.8584,                   3.97,                 3.6222,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1191,                 2.9787,                 2.8548,                0.00314,                0.00057,                0.00158,                0.00075,                 3.6923,                 4.3851,                 3.5248,               0.040478,              0.0065893,              0.0065893
                      3,                 2.3992,                 2.1612,                 2.1162,                0.51039,                0.06645,                0.06854,                0.03209,                 2.0353,                   1.83,                 1.8889,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8284,                 1.6675,                 1.6714,                0.32098,                0.13517,                 0.1291,                0.07155,                 1.5086,                 1.4343,                 1.4815,               0.009901,               0.009901,               0.009901
                      5,                 1.5385,                 1.3623,                 1.4508,                0.35647,                0.15898,                0.17479,                0.10161,                 1.3197,                 1.1298,                 1.3549,               0.009868,               0.009868,               0.009868
                      6,                  1.355,                 1.1783,                 1.3362,                0.74884,                0.21464,                0.21692,                 0.1322,                  1.183,                 1.0102,                 1.2489,               0.009835,               0.009835,               0.009835
                      7,                 1.2606,                 1.0659,                 1.2613,                0.40788,                0.22964,                0.24684,                0.16139,                 1.0762,                0.88646,                 1.1889,               0.009802,               0.009802,               0.009802
                      8,                 1.1665,                0.97972,                 1.2188,                0.29971,                0.31025,                0.28009,                0.18469,                 1.0048,                0.83618,                 1.1424,               0.009769,               0.009769,               0.009769
                      9,                 1.1257,                0.92217,                 1.1862,                 0.5032,                0.27155,                0.28872,                0.19178,                0.94746,                0.78137,                 1.1159,               0.009736,               0.009736,               0.009736
                     10,                 1.0768,                 0.8719,                 1.1675,                0.47131,                0.31237,                0.31805,                0.21429,                0.93033,                0.73849,                 1.0951,               0.009703,               0.009703,               0.009703
                     11,                 1.0398,                0.83469,                 1.1379,                0.44471,                0.35111,                0.33964,                0.22101,                0.87869,                0.72595,                  1.082,                0.00967,                0.00967,                0.00967
                     12,                 1.0075,                0.80008,                 1.1241,                0.49062,                0.33133,                0.33498,                0.22702,                0.83947,                0.66753,                 1.0562,               0.009637,               0.009637,               0.009637
                     13,                0.98455,                0.77623,                 1.1083,                0.40676,                0.36129,                0.35866,                0.24885,                0.82331,                 0.6688,                 1.0498,               0.009604,               0.009604,               0.009604
                     14,                0.95327,                0.74555,                 1.0924,                0.47132,                0.35469,                0.35727,                0.24867,                0.79733,                0.63687,                 1.0377,               0.009571,               0.009571,               0.009571
                     15,                0.92322,                0.73366,                 1.0777,                0.46875,                0.39617,                 0.3891,                 0.2732,                0.78719,                0.61741,                 1.0298,               0.009538,               0.009538,               0.009538
                     16,                0.90712,                0.72153,                 1.0758,                0.71641,                0.37805,                0.39529,                0.28375,                0.76078,                0.59978,                 1.0151,               0.009505,               0.009505,               0.009505
                     17,                0.91016,                0.70599,                 1.0687,                0.68231,                 0.4081,                0.40387,                0.28496,                0.74461,                0.58623,                 1.0111,               0.009472,               0.009472,               0.009472
                     18,                0.87706,                0.68822,                 1.0557,                0.74465,                0.37727,                0.41257,                0.29801,                0.73853,                0.58911,                 1.0012,               0.009439,               0.009439,               0.009439
                     19,                0.86225,                0.67358,                 1.0544,                0.70403,                0.41453,                0.42495,                0.30571,                0.71541,                0.56836,                0.99535,               0.009406,               0.009406,               0.009406
                     20,                0.84683,                0.65773,                 1.0413,                0.73184,                 0.4018,                  0.425,                0.31106,                 0.7153,                0.56394,                0.99073,               0.009373,               0.009373,               0.009373
                     21,                0.83372,                0.63948,                 1.0309,                0.75603,                0.39656,                0.42959,                0.31381,                0.68881,                0.54609,                0.97913,                0.00934,                0.00934,                0.00934
                     22,                0.83879,                 0.6499,                 1.0345,                0.73991,                0.40719,                0.43879,                 0.3219,                0.67119,                0.53613,                0.97195,               0.009307,               0.009307,               0.009307
                     23,                0.81637,                0.63707,                 1.0262,                0.80008,                0.40151,                0.46853,                0.34341,                0.66427,                0.53158,                0.96804,               0.009274,               0.009274,               0.009274
                     24,                0.81227,                0.62809,                 1.0238,                0.72984,                0.45188,                0.46028,                0.33697,                0.66187,                0.52303,                0.97139,               0.009241,               0.009241,               0.009241
                     25,                0.80933,                0.62062,                 1.0209,                0.78035,                 0.4226,                0.47272,                0.34866,                0.65248,                0.51131,                0.95935,               0.009208,               0.009208,               0.009208
                     26,                0.79857,                0.60786,                 1.0151,                0.74922,                0.42984,                0.47139,                0.34506,                0.65422,                0.52707,                0.96148,               0.009175,               0.009175,               0.009175
                     27,                0.78675,                0.60078,                 1.0106,                0.73755,                0.46511,                0.48616,                 0.3671,                0.65281,                0.50203,                0.95569,               0.009142,               0.009142,               0.009142
