                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8664,                 4.3852,                 3.9111,                  6e-05,                0.00306,                  3e-05,                  1e-05,                 3.8604,                 3.7896,                 3.5961,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1487,                 3.0355,                 2.8744,                  6e-05,                0.00306,                  3e-05,                  1e-05,                 3.8032,                 4.2187,                 3.5299,               0.040478,              0.0065893,              0.0065893
                      3,                  2.358,                 2.1376,                 2.0919,                0.32174,                0.04934,                0.05406,                0.02541,                 2.0313,                 1.9703,                 1.8841,               0.010434,              0.0098788,              0.0098788
                      4,                 1.7833,                 1.6504,                 1.6486,                0.31513,                0.13144,                0.12956,                0.07237,                  1.484,                 1.6562,                 1.4835,               0.009901,               0.009901,               0.009901
                      5,                 1.4952,                 1.3369,                 1.4253,                0.32563,                0.16726,                0.16758,                0.10031,                 1.2764,                 1.1777,                 1.3199,               0.009868,               0.009868,               0.009868
                      6,                 1.3351,                   1.16,                  1.322,                 0.4759,                0.20851,                0.20494,                0.12709,                 1.1487,                 1.0288,                 1.2349,               0.009835,               0.009835,               0.009835
                      7,                 1.2394,                 1.0544,                  1.254,                0.46533,                 0.2433,                0.24725,                0.15807,                  1.059,                0.90792,                 1.1782,               0.009802,               0.009802,               0.009802
                      8,                 1.1474,                0.96932,                 1.2073,                0.43988,                0.28196,                0.26819,                0.17717,                0.98033,                0.82152,                 1.1278,               0.009769,               0.009769,               0.009769
                      9,                 1.1082,                0.91019,                 1.1723,                0.44446,                0.28711,                0.28804,                  0.194,                0.93558,                0.78428,                 1.1096,               0.009736,               0.009736,               0.009736
                     10,                 1.0538,                 0.8624,                 1.1525,                0.45671,                0.28061,                 0.2977,                0.20436,                0.91673,                 0.7488,                 1.0928,               0.009703,               0.009703,               0.009703
                     11,                 1.0204,                0.82227,                  1.126,                0.44309,                0.33239,                0.32184,                0.22353,                0.84838,                0.70086,                 1.0617,                0.00967,                0.00967,                0.00967
                     12,                0.98902,                0.78341,                 1.1124,                0.48204,                0.34237,                0.33813,                0.23563,                0.84456,                0.69069,                 1.0571,               0.009637,               0.009637,               0.009637
                     13,                0.95864,                0.76232,                  1.093,                0.48736,                0.36697,                0.35715,                0.25015,                0.81121,                0.65109,                 1.0391,               0.009604,               0.009604,               0.009604
                     14,                0.93628,                0.73745,                 1.0793,                0.65865,                0.34814,                 0.3698,                0.26323,                  0.777,                0.62333,                 1.0241,               0.009571,               0.009571,               0.009571
                     15,                0.90785,                0.71902,                 1.0673,                0.61495,                0.37999,                 0.3793,                0.27571,                0.75462,                 0.6038,                 1.0162,               0.009538,               0.009538,               0.009538
                     16,                0.88921,                 0.7095,                 1.0636,                0.55481,                0.40125,                0.38638,                 0.2811,                0.74294,                0.59388,                 1.0004,               0.009505,               0.009505,               0.009505
                     17,                 0.8949,                0.69653,                 1.0579,                0.65386,                0.38028,                0.39295,                0.28821,                0.74177,                0.61205,                 1.0078,               0.009472,               0.009472,               0.009472
                     18,                0.86491,                0.67177,                 1.0451,                0.77316,                0.40264,                0.41892,                0.30706,                0.72452,                0.57098,                0.99576,               0.009439,               0.009439,               0.009439
                     19,                0.84444,                 0.6594,                 1.0414,                 0.7518,                0.39377,                0.41726,                0.30926,                0.70637,                0.55603,                   0.99,               0.009406,               0.009406,               0.009406
                     20,                0.83238,                 0.6468,                 1.0299,                0.73228,                0.42026,                 0.4449,                0.32193,                0.69055,                0.54454,                0.98055,               0.009373,               0.009373,               0.009373
                     21,                0.81929,                0.62515,                 1.0209,                0.77941,                0.40663,                0.43392,                0.31911,                0.69639,                 0.5541,                0.98229,                0.00934,                0.00934,                0.00934
                     22,                0.82202,                0.63087,                 1.0211,                0.75356,                0.41494,                0.45493,                0.33852,                0.67235,                0.52088,                0.97141,               0.009307,               0.009307,               0.009307
                     23,                0.80207,                0.61803,                 1.0158,                0.71668,                0.42789,                0.44415,                0.33194,                0.66108,                 0.5263,                0.96424,               0.009274,               0.009274,               0.009274
                     24,                0.79959,                0.61169,                 1.0136,                0.75966,                0.44357,                0.47561,                0.35505,                 0.6558,                0.51242,                 0.9643,               0.009241,               0.009241,               0.009241
