                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.834,                 4.0542,                 3.8273,                0.00036,                0.01065,                0.00022,                  9e-05,                 3.8462,                 4.0327,                 3.5189,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1234,                 2.8931,                 2.8224,                0.00288,                0.00296,                0.00149,                0.00057,                 3.6592,                 4.3101,                 3.4296,               0.040478,              0.0065893,              0.0065893
                      3,                 2.4304,                 2.1289,                 2.1406,                0.73673,                0.05104,                0.06435,                0.03032,                  2.001,                 2.4431,                 1.8755,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8543,                 1.6657,                 1.6833,                0.26531,                0.11455,                0.11581,                0.06093,                 1.5994,                 1.4779,                  1.538,               0.009901,               0.009901,               0.009901
                      5,                  1.546,                 1.3562,                 1.4525,                 0.6132,                0.15666,                0.17199,                0.09872,                 1.3214,                 1.1549,                 1.3377,               0.009868,               0.009868,               0.009868
                      6,                 1.3647,                 1.1722,                 1.3361,                0.60146,                0.22503,                 0.2071,                 0.1231,                 1.2093,                 1.0201,                 1.2676,               0.009835,               0.009835,               0.009835
                      7,                 1.2701,                 1.0638,                 1.2659,                0.63298,                 0.2301,                0.24671,                 0.1535,                 1.0885,                0.89452,                 1.1802,               0.009802,               0.009802,               0.009802
                      8,                 1.1715,                0.97393,                 1.2177,                0.49707,                0.24973,                 0.2621,                0.16839,                 1.0191,                0.82954,                 1.1487,               0.009769,               0.009769,               0.009769
                      9,                 1.1317,                0.91775,                 1.1849,                0.44867,                0.28728,                0.28167,                0.19101,                0.94111,                0.78855,                 1.1095,               0.009736,               0.009736,               0.009736
                     10,                 1.0777,                0.87085,                 1.1632,                0.47842,                0.32066,                0.29301,                0.19578,                0.94434,                0.75698,                 1.0975,               0.009703,               0.009703,               0.009703
                     11,                 1.0362,                 0.8315,                 1.1335,                0.59317,                 0.3142,                 0.3109,                 0.2148,                0.86613,                0.70458,                 1.0671,                0.00967,                0.00967,                0.00967
                     12,                 1.0029,                0.79124,                   1.12,                0.58373,                0.31485,                0.31429,                0.22318,                0.83143,                0.67486,                 1.0502,               0.009637,               0.009637,               0.009637
                     13,                0.97652,                0.76779,                  1.102,                0.52351,                0.35242,                0.34047,                0.23897,                0.81617,                0.65124,                 1.0421,               0.009604,               0.009604,               0.009604
                     14,                0.95019,                0.74355,                 1.0875,                0.49778,                0.33875,                0.35049,                0.24943,                0.79091,                0.62834,                 1.0277,               0.009571,               0.009571,               0.009571
                     15,                0.92442,                0.72494,                 1.0772,                0.71178,                0.38141,                0.36757,                0.26692,                0.76868,                0.62963,                 1.0188,               0.009538,               0.009538,               0.009538
                     16,                0.90801,                0.71761,                 1.0723,                0.66588,                0.38505,                0.38054,                0.27593,                0.75162,                0.60008,                 1.0077,               0.009505,               0.009505,               0.009505
                     17,                0.90505,                0.70472,                 1.0624,                0.71293,                0.38342,                0.40556,                0.29468,                0.73657,                0.59029,                 1.0011,               0.009472,               0.009472,               0.009472
                     18,                0.87846,                0.68009,                 1.0515,                0.74723,                0.39542,                0.41091,                 0.3022,                0.73035,                0.57497,                 0.9962,               0.009439,               0.009439,               0.009439
                     19,                0.85669,                0.66516,                 1.0493,                0.70849,                0.36299,                0.41866,                0.31147,                0.71684,                0.56912,                0.99139,               0.009406,               0.009406,               0.009406
                     20,                0.84353,                0.64723,                 1.0357,                 0.7174,                 0.3807,                0.43548,                0.31284,                0.70395,                0.55166,                0.98514,               0.009373,               0.009373,               0.009373
                     21,                0.83188,                0.63215,                 1.0268,                0.73627,                0.40351,                0.42462,                0.31134,                0.68682,                0.53526,                  0.975,                0.00934,                0.00934,                0.00934
                     22,                0.83748,                0.64094,                   1.03,                0.74554,                0.38716,                0.44683,                0.32872,                0.68608,                0.53879,                0.97863,               0.009307,               0.009307,               0.009307
