                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8587,                 4.2893,                 3.8781,                0.00038,                0.01058,                0.00021,                  9e-05,                 3.8469,                  3.971,                 3.5951,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.0027,                 2.8108,                 2.7456,                0.00041,                0.01049,                0.00033,                0.00012,                  3.819,                 4.2191,                 3.5615,               0.040478,              0.0065893,              0.0065893
                      3,                 2.2235,                 2.0007,                 2.0098,                0.36687,                0.06616,                0.06446,                0.03263,                 1.9506,                 2.0474,                 1.8381,               0.010434,              0.0098788,              0.0098788
                      4,                 1.7323,                 1.5862,                 1.6184,                0.68677,                0.13197,                0.14369,                0.08087,                 1.4147,                 1.4019,                 1.4386,               0.009901,               0.009901,               0.009901
                      5,                 1.4781,                 1.3177,                 1.4166,                0.59122,                0.15815,                0.18725,                0.11303,                 1.2177,                 1.2284,                 1.2973,               0.009868,               0.009868,               0.009868
                      6,                 1.3135,                 1.1539,                 1.3148,                0.74809,                 0.2345,                0.22222,                0.14043,                 1.1058,                 1.0036,                 1.2074,               0.009835,               0.009835,               0.009835
                      7,                 1.2342,                 1.0396,                 1.2503,                0.49731,                0.24405,                0.25648,                0.16621,                 1.0508,                0.85094,                 1.1638,               0.009802,               0.009802,               0.009802
                      8,                 1.1333,                0.96154,                 1.2002,                0.50313,                0.26023,                0.26724,                0.17581,                0.97708,                0.84439,                   1.13,               0.009769,               0.009769,               0.009769
                      9,                 1.0934,                0.90034,                 1.1665,                 0.4631,                0.29167,                0.29924,                 0.2027,                0.92245,                0.76077,                 1.1012,               0.009736,               0.009736,               0.009736
                     10,                   1.05,                0.85262,                 1.1494,                0.52427,                0.27605,                 0.3149,                0.21613,                0.88679,                0.71493,                   1.07,               0.009703,               0.009703,               0.009703
                     11,                 1.0119,                0.81718,                 1.1208,                 0.5026,                0.32612,                0.34532,                0.23108,                0.86106,                0.68292,                 1.0638,                0.00967,                0.00967,                0.00967
                     12,                 0.9844,                0.78197,                 1.1096,                0.58983,                0.34758,                0.35039,                0.24639,                0.82131,                0.65716,                 1.0469,               0.009637,               0.009637,               0.009637
                     13,                0.95757,                0.75801,                 1.0924,                0.61149,                0.35432,                0.37059,                 0.2593,                 0.7901,                0.63966,                 1.0332,               0.009604,               0.009604,               0.009604
                     14,                 0.9334,                0.73243,                 1.0782,                 0.6043,                0.35155,                 0.3827,                0.27427,                0.77557,                0.63204,                 1.0235,               0.009571,               0.009571,               0.009571
                     15,                0.90069,                0.71539,                 1.0641,                0.76796,                0.37775,                0.41064,                0.29306,                0.73857,                0.58649,                  1.005,               0.009538,               0.009538,               0.009538
                     16,                 0.8892,                0.70249,                 1.0633,                0.70936,                0.36901,                0.40242,                0.29152,                0.73527,                0.59014,                 1.0001,               0.009505,               0.009505,               0.009505
                     17,                0.88471,                0.68998,                  1.054,                0.69868,                0.39296,                0.43917,                0.31004,                0.72316,                0.57995,                0.99958,               0.009472,               0.009472,               0.009472
                     18,                0.85705,                0.66631,                 1.0436,                0.72645,                0.39344,                0.43408,                0.31524,                0.71477,                0.56333,                0.99266,               0.009439,               0.009439,               0.009439
                     19,                0.83843,                0.65328,                 1.0404,                0.76662,                0.40695,                0.45511,                0.33738,                0.69218,                0.54772,                0.98202,               0.009406,               0.009406,               0.009406
                     20,                0.82477,                0.64073,                 1.0295,                0.74631,                 0.3914,                0.45112,                0.32867,                0.69141,                0.55032,                 0.9785,               0.009373,               0.009373,               0.009373
                     21,                0.81175,                0.61926,                  1.019,                0.76982,                0.41382,                0.45436,                0.33921,                0.68034,                0.54017,                0.97519,                0.00934,                0.00934,                0.00934
                     22,                0.81677,                0.62575,                 1.0213,                0.77004,                0.43729,                0.48308,                0.36066,                0.65608,                0.51384,                0.96407,               0.009307,               0.009307,               0.009307
                     23,                0.79377,                0.61351,                 1.0135,                 0.8001,                0.43147,                0.47191,                0.34579,                0.66725,                 0.5491,                 0.9681,               0.009274,               0.009274,               0.009274
                     24,                 0.7917,                0.61226,                 1.0116,                0.76223,                 0.4602,                0.48783,                0.36427,                0.65277,                 0.5134,                0.96552,               0.009241,               0.009241,               0.009241
                     25,                0.78697,                0.59929,                 1.0067,                0.74749,                0.40901,                0.47722,                0.34524,                0.68094,                0.54733,                0.97787,               0.009208,               0.009208,               0.009208
                     26,                0.77618,                 0.5902,                 1.0016,                0.82225,                0.44066,                0.51096,                0.37749,                0.64129,                0.50419,                0.95339,               0.009175,               0.009175,               0.009175
