                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8836,                   4.47,                 4.0156,                0.00021,                0.02759,                0.00201,                0.00174,                 3.8724,                 3.8691,                 3.6664,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1921,                 3.0844,                  2.923,                0.00021,                0.02759,                0.00201,                0.00174,                 3.8379,                  4.302,                 3.6176,               0.040478,              0.0065893,              0.0065893
                      3,                 2.3954,                  2.169,                 2.0998,                0.30793,                0.05273,                0.05304,                0.02639,                  2.074,                  1.965,                 1.9484,               0.010434,              0.0098788,              0.0098788
                      4,                 1.7959,                 1.6498,                 1.6454,                0.55489,                 0.1214,                0.13121,                0.07273,                 1.4826,                 1.3428,                 1.4607,               0.009901,               0.009901,               0.009901
                      5,                 1.5032,                 1.3338,                 1.4224,                0.44485,                0.18311,                0.17354,                0.09992,                 1.2864,                 1.1432,                 1.3328,               0.009868,               0.009868,               0.009868
                      6,                 1.3313,                 1.1636,                 1.3181,                0.49543,                0.22078,                0.22055,                0.13893,                  1.124,                0.95526,                 1.2187,               0.009835,               0.009835,               0.009835
                      7,                 1.2436,                 1.0514,                 1.2516,                0.46534,                0.26234,                0.25056,                0.16175,                 1.0397,                 0.8655,                 1.1677,               0.009802,               0.009802,               0.009802
                      8,                 1.1497,                0.96588,                 1.2053,                0.53422,                0.23852,                0.26428,                0.16951,                 1.0099,                0.83258,                 1.1462,               0.009769,               0.009769,               0.009769
                      9,                 1.1083,                 0.9071,                 1.1716,                 0.4367,                0.29685,                0.28312,                0.18898,                0.94754,                0.77863,                 1.1122,               0.009736,               0.009736,               0.009736
                     10,                 1.0575,                0.85964,                 1.1538,                0.45441,                0.29505,                0.30861,                 0.2092,                0.93378,                0.74322,                 1.1031,               0.009703,               0.009703,               0.009703
                     11,                 1.0192,                 0.8176,                 1.1256,                0.58195,                0.29768,                0.32271,                0.22187,                 0.8633,                0.69632,                 1.0646,                0.00967,                0.00967,                0.00967
                     12,                0.98821,                0.78059,                 1.1127,                0.56836,                0.33193,                0.32706,                0.22449,                0.83528,                0.66453,                 1.0561,               0.009637,               0.009637,               0.009637
                     13,                0.96437,                0.76108,                 1.0974,                0.73131,                0.34185,                0.35503,                0.25414,                0.79142,                0.63722,                 1.0324,               0.009604,               0.009604,               0.009604
                     14,                 0.9386,                0.73695,                 1.0821,                0.63235,                0.37489,                0.36519,                0.25867,                0.78927,                0.64242,                 1.0272,               0.009571,               0.009571,               0.009571
                     15,                0.90934,                0.71711,                 1.0691,                0.76624,                0.39165,                0.39085,                0.27814,                0.76236,                0.62312,                 1.0178,               0.009538,               0.009538,               0.009538
                     16,                0.89355,                0.70656,                 1.0682,                0.73102,                0.40821,                0.39857,                0.28926,                 0.7497,                0.59736,                 1.0106,               0.009505,               0.009505,               0.009505
                     17,                0.89383,                0.69355,                 1.0592,                0.69127,                0.42905,                0.40313,                0.28846,                0.74231,                0.59113,                 1.0075,               0.009472,               0.009472,               0.009472
                     18,                0.86237,                 0.6717,                 1.0458,                0.73345,                0.41422,                0.42352,                0.30264,                0.74306,                0.59926,                 1.0076,               0.009439,               0.009439,               0.009439
                     19,                0.84483,                0.65886,                 1.0432,                0.69213,                0.42091,                0.43563,                0.32077,                0.69254,                0.56395,                0.98463,               0.009406,               0.009406,               0.009406
                     20,                0.82691,                0.64325,                 1.0308,                0.74116,                  0.418,                0.42757,                0.31525,                0.70062,                0.55555,                0.98127,               0.009373,               0.009373,               0.009373
                     21,                0.81786,                0.62853,                 1.0227,                0.73999,                0.41296,                0.42922,                0.31437,                0.69366,                0.56354,                0.98071,                0.00934,                0.00934,                0.00934
                     22,                 0.8248,                0.63797,                 1.0259,                0.72165,                0.45734,                0.45253,                  0.334,                0.66973,                0.53412,                0.97349,               0.009307,               0.009307,               0.009307
                     23,                0.80084,                0.62101,                 1.0169,                 0.8097,                0.41185,                  0.464,                0.34584,                0.67045,                0.53178,                0.97099,               0.009274,               0.009274,               0.009274
                     24,                0.80368,                0.61737,                 1.0172,                0.75309,                0.44795,                0.47485,                0.35577,                0.65581,                0.51407,                0.96824,               0.009241,               0.009241,               0.009241
                     25,                0.79194,                0.60676,                  1.011,                0.73726,                0.44583,                0.46473,                0.34783,                0.65036,                0.51211,                0.96128,               0.009208,               0.009208,               0.009208
                     26,                0.78877,                0.60063,                 1.0097,                0.79695,                0.42324,                 0.4641,                0.35335,                0.65922,                0.52652,                0.96486,               0.009175,               0.009175,               0.009175
                     27,                0.77554,                0.59485,                 1.0024,                0.79606,                0.44338,                0.48986,                 0.3712,                0.62755,                0.49018,                0.95097,               0.009142,               0.009142,               0.009142
