                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.814,                  4.343,                  3.871,                      0,                      0,                      0,                      0,                 3.8363,                  3.932,                 3.6021,                 0.0705,              0.0032778,              0.0032778
                      2,                 3.1073,                 2.9512,                  2.827,                      0,                      0,                      0,                      0,                 3.8126,                 4.3597,                 3.6259,               0.040478,              0.0065893,              0.0065893
                      3,                  2.412,                 2.1498,                 2.1255,                0.52677,                0.05403,                0.06013,                0.02856,                 2.0826,                  1.933,                 1.9263,               0.010434,              0.0098788,              0.0098788
                      4,                 1.8195,                 1.6486,                 1.6744,                0.75224,                0.10657,                0.09767,                0.05236,                  1.587,                 1.7808,                 1.5687,               0.009901,               0.009901,               0.009901
                      5,                 1.5205,                 1.3488,                  1.443,                0.70753,                0.15908,                0.16216,                 0.0976,                 1.3019,                 1.1595,                 1.3513,               0.009868,               0.009868,               0.009868
                      6,                  1.342,                 1.1721,                 1.3292,                0.47212,                0.20673,                0.19872,                0.12284,                 1.1795,                 1.0351,                  1.264,               0.009835,               0.009835,               0.009835
                      7,                 1.2439,                 1.0544,                 1.2543,                0.48828,                0.23245,                0.23974,                0.15458,                  1.052,                0.89927,                 1.1786,               0.009802,               0.009802,               0.009802
                      8,                 1.1493,                0.96659,                 1.2048,                0.51315,                0.25437,                 0.2588,                0.17035,                 1.0014,                0.82919,                 1.1511,               0.009769,               0.009769,               0.009769
                      9,                  1.108,                 0.9072,                 1.1745,                0.43083,                0.27589,                0.27876,                0.18829,                0.92691,                0.77094,                 1.1052,               0.009736,               0.009736,               0.009736
                     10,                 1.0592,                0.85686,                 1.1577,                0.47335,                0.30213,                0.31535,                0.21435,                0.89722,                0.72933,                 1.0831,               0.009703,               0.009703,               0.009703
                     11,                 1.0153,                0.82075,                 1.1242,                0.32599,                0.34332,                0.32002,                0.22492,                0.85881,                0.70839,                 1.0617,                0.00967,                0.00967,                0.00967
                     12,                0.98542,                0.77968,                 1.1115,                0.58531,                0.33898,                0.34703,                0.24488,                0.82062,                 0.6595,                 1.0405,               0.009637,               0.009637,               0.009637
                     13,                 0.9609,                0.75688,                 1.0948,                0.70773,                 0.3402,                0.36889,                0.26377,                 0.7934,                0.65368,                 1.0351,               0.009604,               0.009604,               0.009604
                     14,                0.93278,                 0.7316,                 1.0815,                0.63296,                0.38522,                0.37243,                0.26607,                0.77988,                0.62461,                 1.0268,               0.009571,               0.009571,               0.009571
                     15,                0.90552,                 0.7128,                 1.0664,                0.73943,                0.38024,                0.38252,                0.27899,                0.77043,                0.60401,                 1.0149,               0.009538,               0.009538,               0.009538
                     16,                0.89143,                 0.7006,                 1.0635,                0.75397,                0.36626,                0.41441,                0.30556,                0.75165,                0.58403,                 1.0086,               0.009505,               0.009505,               0.009505
                     17,                0.89096,                0.69005,                 1.0575,                0.74238,                0.37925,                0.39601,                0.28465,                0.72653,                 0.5802,                 1.0003,               0.009472,               0.009472,               0.009472
                     18,                0.85992,                0.66698,                  1.046,                 0.7102,                0.40614,                0.43103,                0.31488,                0.71416,                0.55637,                0.99061,               0.009439,               0.009439,               0.009439
                     19,                0.83922,                0.65477,                 1.0431,                0.73689,                0.42014,                0.43934,                0.32312,                0.70587,                0.56474,                0.99158,               0.009406,               0.009406,               0.009406
                     20,                0.82929,                0.63858,                 1.0329,                0.72258,                0.41002,                0.44219,                0.33026,                0.69535,                0.54006,                0.97789,               0.009373,               0.009373,               0.009373
                     21,                0.81349,                 0.6234,                 1.0209,                0.74679,                0.44907,                0.45585,                0.34086,                0.67695,                 0.5303,                0.97338,                0.00934,                0.00934,                0.00934
                     22,                0.82302,                0.62885,                 1.0242,                0.74875,                0.42224,                0.45978,                0.34367,                0.66877,                0.52255,                0.97364,               0.009307,               0.009307,               0.009307
                     23,                0.80208,                0.61858,                 1.0191,                0.71379,                0.46694,                0.47501,                 0.3467,                0.66646,                0.52678,                0.97176,               0.009274,               0.009274,               0.009274
                     24,                0.80033,                0.61195,                 1.0169,                0.79741,                0.44255,                0.49484,                0.36405,                0.68049,                0.52562,                0.98112,               0.009241,               0.009241,               0.009241
                     25,                0.79339,                0.60191,                 1.0116,                0.81278,                0.41454,                0.46941,                0.35332,                0.64299,                0.50304,                0.95485,               0.009208,               0.009208,               0.009208
                     26,                0.78005,                0.59454,                 1.0058,                0.79638,                0.43788,                0.49424,                0.37066,                0.65502,                0.51314,                0.96687,               0.009175,               0.009175,               0.009175
                     27,                0.77216,                0.58816,                  1.003,                0.75514,                0.46178,                0.50763,                0.38424,                0.62682,                0.49309,                0.95154,               0.009142,               0.009142,               0.009142
                     28,                0.76045,                0.57094,                0.99203,                0.77636,                0.45707,                0.49421,                0.37615,                0.63052,                0.49551,                0.95588,               0.009109,               0.009109,               0.009109
                     29,                0.75281,                0.57486,                0.99617,                0.79206,                0.46249,                0.51815,                0.39016,                  0.628,                0.48071,                0.95588,               0.009076,               0.009076,               0.009076
                     30,                0.74304,                0.56727,                0.98834,                0.64487,                0.48328,                0.52401,                0.39729,                0.61551,                0.47681,                0.94784,               0.009043,               0.009043,               0.009043
                     31,                0.74651,                0.56032,                0.98495,                0.79019,                0.45585,                0.50898,                0.37636,                0.67129,                0.53653,                0.98033,                0.00901,                0.00901,                0.00901
                     32,                0.72965,                0.54833,                0.97815,                0.80367,                0.48531,                0.54125,                0.41524,                0.60736,                0.46482,                0.94399,               0.008977,               0.008977,               0.008977
                     33,                0.72828,                0.54356,                0.97634,                0.80799,                0.47346,                0.53576,                0.41104,                0.60151,                0.46342,                0.94254,               0.008944,               0.008944,               0.008944
                     34,                0.72493,                0.55437,                0.97744,                0.84114,                 0.4573,                0.52389,                0.39962,                 0.6309,                0.48092,                0.95963,               0.008911,               0.008911,               0.008911
                     35,                 0.7232,                 0.5414,                0.97826,                 0.7892,                 0.4513,                0.51444,                0.38677,                0.66299,                0.52212,                0.97273,               0.008878,               0.008878,               0.008878
                     36,                0.71776,                0.53568,                0.97511,                0.82134,                0.49409,                0.61818,                0.44763,                0.58547,                0.44673,                0.93456,               0.008845,               0.008845,               0.008845
                     37,                0.71338,                0.53105,                0.96884,                0.78471,                0.49229,                0.54607,                0.41939,                0.60645,                0.46261,                0.94416,               0.008812,               0.008812,               0.008812
                     38,                0.70868,                0.52874,                0.97128,                0.81301,                0.37326,                0.46125,                0.34249,                 0.7808,                0.70239,                  1.059,               0.008779,               0.008779,               0.008779
                     39,                0.70818,                0.53133,                0.97842,                0.82155,                0.48293,                0.60654,                0.43849,                0.60153,                0.45997,                 0.9415,               0.008746,               0.008746,               0.008746
                     40,                 0.7009,                0.51909,                0.96476,                0.79639,                0.48783,                0.55671,                0.42831,                0.63138,                0.48961,                0.95967,               0.008713,               0.008713,               0.008713
                     41,                0.69508,                 0.5144,                0.96221,                0.79227,                0.49579,                0.56778,                0.43504,                0.59158,                0.45882,                0.93967,                0.00868,                0.00868,                0.00868
                     42,                0.68639,                 0.5066,                0.95707,                0.79098,                0.53295,                0.58284,                0.44577,                 0.5652,                0.43438,                0.92605,               0.008647,               0.008647,               0.008647
                     43,                0.68798,                0.51281,                0.95952,                0.84307,                0.46396,                  0.587,                0.44151,                0.57571,                0.44322,                0.92729,               0.008614,               0.008614,               0.008614
                     44,                 0.6943,                0.50718,                0.96332,                0.85119,                0.48063,                0.61438,                 0.4643,                0.59115,                0.44961,                 0.9384,               0.008581,               0.008581,               0.008581
                     45,                 0.6793,                0.50078,                0.95521,                0.81902,                0.48031,                0.58151,                0.45699,                0.56179,                0.42676,                0.92098,               0.008548,               0.008548,               0.008548
                     46,                0.68303,                0.49996,                0.95346,                0.80112,                0.42661,                0.55793,                0.41089,                0.71957,                0.63999,                 1.0149,               0.008515,               0.008515,               0.008515
                     47,                0.66957,                 0.4977,                0.95454,                0.82261,                0.50914,                0.64567,                0.47124,                0.54546,                 0.4143,                0.91291,               0.008482,               0.008482,               0.008482
                     48,                0.67286,                0.49826,                0.95123,                0.83951,                0.46071,                 0.5539,                0.42539,                0.62901,                0.49703,                0.95919,               0.008449,               0.008449,               0.008449
                     49,                0.66734,                 0.4891,                0.95055,                0.84293,                0.50891,                0.65936,                0.50424,                0.54478,                0.41669,                0.91511,               0.008416,               0.008416,               0.008416
                     50,                0.66203,                0.49251,                0.94977,                0.69655,                0.58237,                0.63996,                0.46982,                0.55483,                0.41764,                0.92073,               0.008383,               0.008383,               0.008383
                     51,                0.65818,                0.48411,                0.94807,                0.57741,                0.67966,                0.67726,                0.49434,                0.56643,                0.43378,                0.92712,                0.00835,                0.00835,                0.00835
                     52,                0.65231,                  0.484,                0.94308,                0.74238,                0.53804,                0.63223,                0.47887,                0.61072,                0.47387,                0.95489,               0.008317,               0.008317,               0.008317
                     53,                0.65207,                 0.4855,                0.94355,                 0.5958,                0.65703,                0.75229,                0.55606,                0.52947,                0.40764,                0.90824,               0.008284,               0.008284,               0.008284
                     54,                0.65407,                 0.4807,                0.94392,                0.64136,                0.72544,                0.72801,                0.55318,                0.53233,                0.40199,                0.90616,               0.008251,               0.008251,               0.008251
                     55,                0.65367,                0.47666,                 0.9407,                0.77651,                0.52092,                0.63846,                0.49842,                0.64446,                0.52624,                0.97379,               0.008218,               0.008218,               0.008218
                     56,                 0.6503,                0.47686,                0.94194,                0.80282,                0.51061,                0.73622,                0.53549,                0.56874,                0.44246,                0.92938,               0.008185,               0.008185,               0.008185
                     57,                0.64856,                0.47345,                0.94246,                 0.5385,                0.64737,                0.65785,                0.50737,                0.54322,                0.41132,                0.91543,               0.008152,               0.008152,               0.008152
                     58,                0.64751,                 0.4701,                0.94169,                 0.6518,                0.61573,                0.73997,                0.54559,                 0.5243,                0.39742,                0.90466,               0.008119,               0.008119,               0.008119
                     59,                 0.6383,                0.47164,                0.93506,                0.65272,                0.49107,                0.54084,                0.37335,                0.77143,                0.75651,                 1.0572,               0.008086,               0.008086,               0.008086
                     60,                0.63846,                0.46332,                0.93438,                0.71289,                0.66242,                 0.7262,                0.53812,                0.55936,                0.41981,                 0.9236,               0.008053,               0.008053,               0.008053
                     61,                0.63275,                 0.4614,                0.93343,                0.57423,                0.60635,                0.64992,                0.49415,                0.56075,                0.42618,                0.92553,                0.00802,                0.00802,                0.00802
                     62,                0.63332,                0.46308,                 0.9342,                0.63152,                0.70477,                 0.7253,                0.51787,                0.58163,                0.44321,                0.93821,               0.007987,               0.007987,               0.007987
                     63,                0.63611,                 0.4611,                0.93274,                0.67779,                  0.737,                0.75432,                0.57107,                0.53605,                0.40963,                0.91351,               0.007954,               0.007954,               0.007954
                     64,                0.63162,                0.45883,                0.93164,                0.61431,                 0.6453,                0.67687,                0.51431,                0.53784,                 0.4084,                0.90983,               0.007921,               0.007921,               0.007921
                     65,                0.63129,                0.46078,                0.93286,                 0.8182,                0.56752,                0.71404,                0.53485,                0.54935,                0.42377,                0.91642,               0.007888,               0.007888,               0.007888
                     66,                0.63128,                0.45914,                0.93078,                 0.7947,                0.62966,                0.75445,                0.57895,                0.50782,                0.38533,                0.89618,               0.007855,               0.007855,               0.007855
                     67,                0.62981,                0.45545,                0.93228,                0.69017,                0.68583,                0.72253,                0.55053,                0.52461,                0.39229,                0.90606,               0.007822,               0.007822,               0.007822
                     68,                0.61976,                0.44909,                0.92443,                0.63341,                0.59368,                0.67985,                0.52292,                0.53433,                0.40652,                0.91273,               0.007789,               0.007789,               0.007789
                     69,                0.62436,                 0.4535,                0.92861,                0.52087,                 0.7107,                0.67479,                 0.4861,                0.63886,                0.53066,                0.97207,               0.007756,               0.007756,               0.007756
                     70,                0.61954,                0.44964,                0.92905,                0.67768,                0.64385,                0.73866,                0.54901,                0.53771,                0.39833,                0.91423,               0.007723,               0.007723,               0.007723
