                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8097,                 4.4348,                 4.2211,                0.00128,                0.60307,                0.00235,                0.00078,                 2.1121,                 4.1992,                 3.9641,               0.070484,              0.0032796,              0.0032796
                      2,                 2.2995,                 2.8557,                 3.2088,                0.01025,                0.06854,                0.00688,                0.00182,                 2.1003,                 4.3571,                 3.8691,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4646,                 1.9533,                 2.2393,                0.18417,                0.34213,                0.22275,                0.14708,                 1.2615,                 2.0589,                 2.2274,               0.010418,              0.0098806,              0.0098806
                      4,                0.98409,                 1.5008,                 1.6523,                0.43778,                0.59982,                0.49404,                0.40119,                0.64506,                 1.9188,                 1.3969,               0.009901,               0.009901,               0.009901
                      5,                0.78486,                 1.1652,                 1.4163,                0.45716,                0.67502,                0.53168,                0.40066,                0.63682,                 1.2678,                 1.3978,               0.009868,               0.009868,               0.009868
                      6,                0.67254,                0.94903,                 1.2906,                0.64811,                0.70715,                0.74643,                0.64507,                0.49754,                0.83077,                 1.1276,               0.009835,               0.009835,               0.009835
                      7,                0.62523,                0.90555,                 1.2479,                0.58039,                0.75079,                0.70887,                0.62587,                0.46946,                0.90048,                 1.1486,               0.009802,               0.009802,               0.009802
                      8,                0.58024,                0.79212,                 1.1942,                 0.7593,                0.83099,                0.86454,                0.75625,                0.42839,                0.60674,                 1.0818,               0.009769,               0.009769,               0.009769
                      9,                0.54892,                0.70433,                 1.1609,                0.61514,                0.76935,                0.73318,                0.64785,                0.45798,                 1.3921,                 1.1008,               0.009736,               0.009736,               0.009736
                     10,                0.52749,                0.69242,                 1.1463,                0.81174,                0.83259,                0.89201,                0.81297,                0.39834,                 0.5481,                 1.0661,               0.009703,               0.009703,               0.009703
                     11,                0.50917,                0.64743,                 1.1307,                0.80785,                0.87567,                0.90395,                0.82072,                0.36819,                0.50718,                 1.0298,                0.00967,                0.00967,                0.00967
                     12,                0.50016,                0.61147,                 1.1077,                0.80317,                0.81945,                0.86913,                0.77771,                0.44468,                 0.5642,                 1.1519,               0.009637,               0.009637,               0.009637
                     13,                0.47736,                0.59271,                 1.1027,                0.81731,                0.85166,                0.89317,                0.81332,                0.36277,                0.49941,                 1.0258,               0.009604,               0.009604,               0.009604
                     14,                0.46727,                0.56512,                 1.0969,                0.85995,                0.87523,                0.91495,                0.84749,                0.33852,                0.49202,                  0.986,               0.009571,               0.009571,               0.009571
                     15,                0.45739,                0.54929,                 1.0838,                0.84716,                0.78166,                0.88402,                0.76139,                0.43004,                0.53418,                 1.0946,               0.009538,               0.009538,               0.009538
                     16,                0.45735,                0.53452,                 1.0823,                0.80405,                0.86671,                0.90242,                0.83014,                0.35328,                0.55868,                 1.0246,               0.009505,               0.009505,               0.009505
                     17,                0.44352,                0.51378,                 1.0733,                0.88209,                0.80379,                0.90425,                0.81445,                0.40219,                0.47118,                 1.0665,               0.009472,               0.009472,               0.009472
                     18,                0.44208,                0.50044,                 1.0658,                 0.8721,                0.83353,                 0.9146,                0.84942,                0.34211,                0.43916,                 1.0016,               0.009439,               0.009439,               0.009439
                     19,                0.42476,                0.50132,                 1.0577,                0.87998,                0.85652,                0.91809,                 0.8676,                0.30585,                0.41814,                0.96939,               0.009406,               0.009406,               0.009406
                     20,                0.42557,                0.50869,                 1.0572,                0.90942,                0.88509,                0.94057,                  0.883,                0.31051,                0.39095,                0.97422,               0.009373,               0.009373,               0.009373
                     21,                0.41735,                0.48407,                 1.0495,                0.83604,                0.89393,                0.91217,                0.86436,                0.30546,                0.41653,                 0.9645,                0.00934,                0.00934,                0.00934
                     22,                 0.4113,                0.46676,                  1.044,                0.89256,                0.91036,                0.94043,                0.88773,                0.29756,                0.35853,                0.95162,               0.009307,               0.009307,               0.009307
                     23,                0.40588,                0.46645,                 1.0399,                0.88018,                0.91172,                0.93598,                0.86989,                 0.3122,                0.35101,                0.98619,               0.009274,               0.009274,               0.009274
                     24,                0.40285,                0.45181,                 1.0383,                0.91774,                0.91754,                0.95126,                 0.9045,                 0.2917,                0.32989,                0.95533,               0.009241,               0.009241,               0.009241
                     25,                0.40519,                0.44668,                 1.0389,                0.89804,                0.83742,                0.92079,                0.87411,                0.29111,                0.41286,                 0.9551,               0.009208,               0.009208,               0.009208
                     26,                0.39696,                0.44489,                 1.0283,                0.91436,                  0.902,                 0.9431,                0.88734,                0.30023,                 0.3411,                  0.962,               0.009175,               0.009175,               0.009175
                     27,                0.38555,                0.42224,                 1.0195,                0.92124,                0.89203,                0.94635,                0.89076,                0.30931,                0.32942,                0.97766,               0.009142,               0.009142,               0.009142
                     28,                0.38972,                0.42333,                 1.0227,                 0.9084,                0.88445,                0.93342,                0.87422,                0.31956,                0.35136,                0.99263,               0.009109,               0.009109,               0.009109
                     29,                0.38503,                0.42657,                 1.0236,                0.89866,                 0.9159,                0.93226,                0.87356,                0.31006,                 0.3847,                0.98171,               0.009076,               0.009076,               0.009076
                     30,                0.37724,                 0.4167,                 1.0129,                0.91109,                0.92881,                0.95065,                0.90556,                0.28602,                0.32677,                0.94545,               0.009043,               0.009043,               0.009043
                     31,                0.37921,                 0.4222,                 1.0138,                0.91405,                0.90915,                0.94003,                0.89156,                 0.2851,                0.32442,                0.94825,                0.00901,                0.00901,                0.00901
                     32,                0.38011,                0.42205,                 1.0142,                0.93498,                0.91271,                0.95534,                0.91562,                0.27203,                0.29205,                0.94047,               0.008977,               0.008977,               0.008977
                     33,                0.38066,                0.41724,                 1.0114,                0.90381,                0.92082,                 0.9524,                0.91202,                 0.2745,                0.30894,                0.93993,               0.008944,               0.008944,               0.008944
                     34,                0.37945,                0.39892,                 1.0118,                0.92089,                 0.9043,                0.94928,                0.91434,                0.27834,                0.32065,                0.94442,               0.008911,               0.008911,               0.008911
                     35,                0.37211,                0.40871,                 1.0072,                0.92387,                0.91728,                0.96195,                0.91604,                0.28581,                0.30815,                0.94659,               0.008878,               0.008878,               0.008878
                     36,                0.37399,                0.40241,                 1.0094,                0.91967,                0.90747,                0.95831,                0.90428,                0.29947,                  0.341,                0.96452,               0.008845,               0.008845,               0.008845
                     37,                0.36658,                0.40665,                 1.0004,                0.91509,                0.92685,                 0.9548,                0.91759,                0.26908,                 0.3096,                0.93901,               0.008812,               0.008812,               0.008812
                     38,                0.36594,                0.39414,                0.99971,                0.89934,                0.92245,                0.94547,                0.90727,                0.27392,                 0.3182,                 0.9389,               0.008779,               0.008779,               0.008779
                     39,                0.35767,                 0.3791,                0.99667,                0.90637,                0.93014,                0.95359,                0.90392,                0.28371,                0.32329,                0.95472,               0.008746,               0.008746,               0.008746
                     40,                0.36531,                0.39709,                 1.0001,                0.91539,                 0.9336,                0.95408,                0.91984,                 0.2637,                0.27853,                0.92955,               0.008713,               0.008713,               0.008713
                     41,                0.36434,                0.36971,                0.99697,                 0.9367,                0.90254,                0.95147,                0.91502,                 0.2658,                0.29137,                 0.9293,                0.00868,                0.00868,                0.00868
                     42,                0.35786,                0.38259,                0.99346,                0.94078,                0.90815,                0.95906,                0.92088,                0.26627,                0.29076,                0.93013,               0.008647,               0.008647,               0.008647
                     43,                0.35693,                0.37378,                0.99222,                0.92786,                 0.9125,                0.94661,                0.91054,                  0.262,                0.29173,                0.92372,               0.008614,               0.008614,               0.008614
                     44,                0.36474,                0.37181,                 1.0019,                0.90234,                0.90354,                0.95422,                0.91155,                0.27276,                0.36072,                0.94453,               0.008581,               0.008581,               0.008581
                     45,                0.35298,                0.37124,                0.99261,                0.92741,                0.92659,                0.96507,                0.93231,                0.25448,                 0.2784,                0.92455,               0.008548,               0.008548,               0.008548
                     46,                0.35254,                0.36236,                0.99567,                0.93412,                0.92155,                0.95822,                0.92435,                0.26016,                0.28103,                0.92972,               0.008515,               0.008515,               0.008515
                     47,                0.34396,                0.36477,                0.99029,                0.92716,                0.89847,                0.94693,                0.91553,                0.24997,                0.29275,                0.91631,               0.008482,               0.008482,               0.008482
                     48,                0.35562,                0.37331,                0.99509,                0.91121,                0.94217,                0.96022,                0.92485,                0.26022,                0.27453,                0.93106,               0.008449,               0.008449,               0.008449
