                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.802,                 4.5489,                 4.2303,                0.00131,                0.61977,                0.00303,                0.00085,                  2.123,                 4.1511,                 3.9826,               0.070484,              0.0032796,              0.0032796
                      2,                 2.2996,                 2.9038,                  3.242,                0.01671,                0.09538,                0.01667,                0.00474,                 2.0684,                 4.2878,                 3.8505,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4767,                 2.0229,                 2.2989,                0.09634,                0.20569,                 0.0759,                0.04322,                 1.7217,                 3.5221,                 2.8111,               0.010418,              0.0098806,              0.0098806
                      4,                 1.0159,                 1.5218,                 1.7153,                0.37942,                0.48743,                0.39253,                 0.3037,                0.71496,                 1.7078,                 1.4958,               0.009901,               0.009901,               0.009901
                      5,                0.79327,                 1.1845,                 1.4475,                0.32499,                0.26781,                0.22725,                0.17489,                0.80472,                 1.9975,                  1.577,               0.009868,               0.009868,               0.009868
                      6,                0.67346,                0.96718,                 1.3136,                0.69209,                0.79437,                0.78621,                0.68251,                0.46569,                0.71533,                 1.1572,               0.009835,               0.009835,               0.009835
                      7,                0.62135,                0.90306,                 1.2618,                0.70758,                0.83622,                 0.8348,                0.73023,                0.42962,                0.69486,                 1.1423,               0.009802,               0.009802,               0.009802
                      8,                0.57197,                0.78119,                 1.2007,                0.52135,                0.67436,                0.56135,                0.47842,                0.55315,                 1.2853,                 1.3136,               0.009769,               0.009769,               0.009769
                      9,                0.53177,                0.69276,                 1.1616,                0.69202,                0.73432,                0.77024,                0.68665,                0.43591,                0.73213,                 1.1577,               0.009736,               0.009736,               0.009736
                     10,                0.52292,                 0.6834,                 1.1564,                 0.8301,                0.90184,                0.92579,                0.84492,                0.35926,                0.48843,                 1.0338,               0.009703,               0.009703,               0.009703
                     11,                0.49823,                0.63722,                 1.1352,                0.81094,                0.81767,                0.87707,                0.79782,                0.37642,                0.55077,                 1.0638,                0.00967,                0.00967,                0.00967
