                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.781,                  4.473,                 4.3091,                0.00135,                0.63913,                0.01156,                0.00307,                 2.1272,                  4.172,                  3.966,               0.070484,              0.0032796,              0.0032796
                      2,                 2.2991,                 2.9059,                 3.2452,                0.00354,                0.01259,                  0.002,                 0.0007,                 2.1149,                   4.47,                 3.8996,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4849,                 1.9814,                 2.2472,                0.60476,                0.24539,                0.30602,                0.16999,                 1.4291,                 2.0253,                 2.3838,               0.010418,              0.0098806,              0.0098806
                      4,                 1.0555,                 1.5532,                 1.6935,                0.24084,                0.28091,                0.22689,                0.15831,                 1.1258,                 2.8551,                 1.8672,               0.009901,               0.009901,               0.009901
                      5,                0.82596,                 1.2103,                  1.421,                0.50428,                0.62013,                0.59207,                0.48715,                0.58533,                 1.1514,                 1.2045,               0.009868,               0.009868,               0.009868
                      6,                0.70723,                0.99789,                 1.2937,                0.72658,                0.68923,                 0.7475,                0.62292,                0.61745,                0.94011,                 1.2215,               0.009835,               0.009835,               0.009835
                      7,                0.65646,                0.93571,                  1.247,                0.70639,                0.64442,                0.68421,                0.57401,                 0.6103,                 1.2204,                 1.2935,               0.009802,               0.009802,               0.009802
                      8,                0.59807,                0.82216,                 1.1884,                0.72708,                0.75519,                0.78979,                0.67786,                0.49114,                0.85914,                 1.0739,               0.009769,               0.009769,               0.009769
                      9,                0.56057,                0.72719,                 1.1481,                0.79882,                0.80481,                0.84992,                0.76167,                0.45563,                0.57892,                 1.0321,               0.009736,               0.009736,               0.009736
                     10,                0.54325,                0.71781,                 1.1335,                0.68635,                0.74998,                0.78794,                0.67156,                0.48223,                0.90816,                  1.081,               0.009703,               0.009703,               0.009703
                     11,                0.52152,                0.66854,                 1.1172,                0.71043,                0.67659,                0.73749,                0.58985,                0.61604,                0.83714,                 1.2843,                0.00967,                0.00967,                0.00967
                     12,                0.51378,                0.63755,                  1.099,                0.80489,                0.86289,                0.89612,                0.79653,                0.38987,                0.56852,                0.98308,               0.009637,               0.009637,               0.009637
                     13,                 0.4891,                  0.611,                 1.0883,                0.82663,                0.85631,                0.88131,                0.80718,                0.36601,                 0.4719,                0.95455,               0.009604,               0.009604,               0.009604
                     14,                 0.4802,                0.58052,                 1.0851,                0.83232,                0.84442,                0.90505,                0.82157,                0.36514,                0.58056,                0.96942,               0.009571,               0.009571,               0.009571
                     15,                0.47039,                0.56438,                 1.0666,                0.89642,                0.88474,                0.92712,                0.84956,                0.34067,                0.47886,                0.95045,               0.009538,               0.009538,               0.009538
                     16,                0.46458,                0.54113,                 1.0662,                0.89961,                0.86052,                0.93173,                0.85708,                0.33856,                0.41995,                0.92924,               0.009505,               0.009505,               0.009505
                     17,                0.45639,                0.52765,                 1.0587,                0.79993,                 0.7888,                0.87823,                0.81001,                 0.3437,                0.61254,                0.93363,               0.009472,               0.009472,               0.009472
                     18,                0.44598,                0.51089,                  1.051,                0.87343,                0.85881,                0.90819,                0.83045,                0.34889,                0.45289,                0.95789,               0.009439,               0.009439,               0.009439
                     19,                0.43943,                0.50082,                 1.0471,                0.82014,                0.81897,                0.89407,                0.84723,                0.30134,                0.49855,                0.89736,               0.009406,               0.009406,               0.009406
                     20,                0.43428,                0.50684,                 1.0443,                0.82932,                0.83529,                0.89895,                0.82039,                0.37066,                0.47684,                 1.0018,               0.009373,               0.009373,               0.009373
                     21,                 0.4267,                0.49454,                 1.0369,                0.89613,                0.87089,                0.92327,                0.87549,                0.30041,                  0.415,                0.90248,                0.00934,                0.00934,                0.00934
                     22,                0.42171,                0.48063,                 1.0313,                0.88488,                0.90803,                0.94009,                 0.8668,                0.32512,                0.37207,                0.94925,               0.009307,               0.009307,               0.009307
                     23,                0.41461,                0.47359,                 1.0276,                0.87869,                0.87731,                0.92803,                0.86808,                0.32158,                0.42329,                0.93321,               0.009274,               0.009274,               0.009274
                     24,                0.41225,                0.46775,                 1.0269,                0.86093,                 0.8801,                0.90962,                0.85117,                 0.3029,                0.38224,                0.91093,               0.009241,               0.009241,               0.009241
                     25,                0.41235,                0.45323,                 1.0226,                0.88165,                0.84048,                0.90673,                0.85691,                0.29804,                0.39767,                0.90592,               0.009208,               0.009208,               0.009208
                     26,                0.40191,                0.45421,                 1.0141,                0.89481,                0.89969,                 0.9495,                0.89974,                0.29554,                0.35908,                0.89903,               0.009175,               0.009175,               0.009175
                     27,                0.39783,                0.43964,                 1.0115,                0.90533,                0.91161,                0.94686,                0.91105,                0.27635,                 0.3265,                0.88735,               0.009142,               0.009142,               0.009142
                     28,                0.39128,                0.42558,                 1.0085,                 0.8294,                0.87925,                0.90623,                 0.8429,                0.32916,                0.41398,                0.95579,               0.009109,               0.009109,               0.009109
                     29,                0.39087,                0.42598,                 1.0119,                0.89136,                0.90809,                 0.9435,                0.90344,                0.27491,                0.34521,                0.89314,               0.009076,               0.009076,               0.009076
