                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.807,                 4.5895,                 4.2289,                0.00125,                0.63018,                0.00529,                0.00149,                 2.1055,                 4.0721,                 3.8554,               0.070484,              0.0032796,              0.0032796
                      2,                 2.3464,                 2.9397,                 3.1979,                0.00125,                0.63018,                0.00529,                0.00149,                  2.103,                 4.4886,                 3.7877,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4705,                  1.939,                 2.2332,                0.14547,                0.36513,                0.22782,                0.13947,                 1.1927,                 4.0815,                 2.2589,               0.010418,              0.0098806,              0.0098806
                      4,                0.99886,                 1.4684,                 1.6782,                0.18995,                0.33571,                0.22197,                0.19068,                0.64517,                 2.6043,                 1.4414,               0.009901,               0.009901,               0.009901
                      5,                0.77925,                 1.1536,                 1.4226,                0.59607,                 0.4583,                0.51887,                0.41312,                0.62665,                 2.0536,                 1.4178,               0.009868,               0.009868,               0.009868
                      6,                0.66959,                0.95475,                 1.2962,                0.68105,                0.73842,                0.78498,                0.68022,                0.49116,                0.96387,                 1.2188,               0.009835,               0.009835,               0.009835
                      7,                0.61305,                0.89849,                 1.2436,                0.58567,                0.71398,                0.69642,                0.58763,                0.50821,                0.96206,                 1.2828,               0.009802,               0.009802,               0.009802
                      8,                0.56602,                0.78954,                 1.1824,                 0.7057,                 0.7986,                0.82383,                0.69196,                0.50153,                 0.7226,                 1.2352,               0.009769,               0.009769,               0.009769
                      9,                0.53151,                0.69086,                 1.1456,                0.72873,                0.84636,                 0.8385,                0.73635,                0.41965,                0.88895,                 1.1255,               0.009736,               0.009736,               0.009736
                     10,                0.52233,                0.68379,                 1.1396,                0.79341,                 0.8291,                0.87404,                0.77924,                0.43287,                 0.6415,                 1.1408,               0.009703,               0.009703,               0.009703
                     11,                0.50021,                0.63601,                 1.1239,                0.83081,                0.83877,                0.88467,                0.80669,                0.40366,                0.58472,                 1.0778,                0.00967,                0.00967,                0.00967
                     12,                0.48805,                0.60444,                 1.0983,                0.78181,                0.78587,                0.86622,                0.78237,                0.38265,                0.52032,                 1.0751,               0.009637,               0.009637,               0.009637
                     13,                0.46944,                0.60072,                 1.0925,                0.91045,                0.85422,                0.92731,                0.85203,                0.37639,                0.43698,                 1.0526,               0.009604,               0.009604,               0.009604
                     14,                0.45908,                0.55558,                 1.0881,                0.87542,                0.84458,                0.91457,                0.84595,                0.33728,                0.44399,                0.99617,               0.009571,               0.009571,               0.009571
                     15,                0.45451,                0.54482,                 1.0803,                0.87248,                0.83624,                0.92209,                0.85982,                 0.3285,                0.48384,                0.98746,               0.009538,               0.009538,               0.009538
                     16,                0.44439,                0.53176,                 1.0706,                0.90092,                0.85631,                0.94096,                0.88451,                0.31454,                0.40057,                0.97741,               0.009505,               0.009505,               0.009505
                     17,                0.43503,                0.50141,                 1.0644,                0.85034,                0.80912,                 0.8969,                0.83318,                0.31773,                0.42587,                0.98623,               0.009472,               0.009472,               0.009472
                     18,                0.43216,                0.50161,                 1.0554,                0.81896,                0.88301,                0.90464,                0.82816,                0.35627,                0.44433,                 1.0552,               0.009439,               0.009439,               0.009439
                     19,                0.42191,                0.49492,                 1.0541,                 0.7704,                0.84232,                0.87415,                0.80924,                0.33061,                0.47558,                 1.0076,               0.009406,               0.009406,               0.009406
                     20,                0.41692,                 0.4924,                 1.0457,                0.81102,                0.87294,                0.89499,                0.83831,                0.31567,                 0.4236,                0.97773,               0.009373,               0.009373,               0.009373
                     21,                0.41071,                0.48273,                  1.041,                 0.8699,                0.89009,                0.93268,                0.87126,                0.31338,                0.37223,                0.98826,                0.00934,                0.00934,                0.00934
                     22,                0.40688,                0.45756,                 1.0369,                0.84681,                0.85804,                0.89218,                0.81988,                0.33245,                0.41907,                 1.0211,               0.009307,               0.009307,               0.009307
                     23,                0.40277,                0.47463,                 1.0307,                0.88307,                0.86425,                0.93107,                0.88753,                0.29039,                0.43983,                0.95997,               0.009274,               0.009274,               0.009274
                     24,                0.40352,                0.45584,                 1.0338,                0.91985,                0.90238,                0.94717,                  0.891,                0.29672,                0.32444,                0.96769,               0.009241,               0.009241,               0.009241
                     25,                 0.3978,                0.44526,                 1.0283,                0.86502,                0.85744,                0.92276,                0.86758,                0.29908,                0.40763,                0.97312,               0.009208,               0.009208,               0.009208
