                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.779,                 4.2749,                 4.2335,                0.00076,                0.54285,                0.00259,                0.00081,                 2.1233,                 4.1735,                 3.9267,               0.070484,              0.0032796,              0.0032796
                      2,                 2.1648,                 2.7207,                 3.0801,                0.05044,                 0.1307,                0.03834,                0.01568,                 1.9222,                  3.788,                 3.2604,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4366,                 1.9409,                  2.234,                 0.2725,                0.40979,                0.26926,                0.16781,                 1.3666,                 2.5566,                 2.4025,               0.010418,              0.0098806,              0.0098806
                      4,                0.99731,                 1.5104,                 1.6969,                0.47966,                0.60869,                  0.574,                 0.4539,                0.72055,                 1.1826,                 1.5482,               0.009901,               0.009901,               0.009901
                      5,                0.79153,                 1.1802,                 1.4505,                0.37498,                 0.6689,                0.46356,                0.37129,                0.66404,                 1.4863,                   1.44,               0.009868,               0.009868,               0.009868
                      6,                0.67832,                0.96824,                 1.3167,                0.73095,                0.81627,                0.82471,                0.71951,                0.46131,                0.74697,                 1.1555,               0.009835,               0.009835,               0.009835
                      7,                0.62303,                0.90044,                 1.2634,                0.68629,                0.72936,                0.78451,                0.69949,                0.44616,                0.92268,                 1.1534,               0.009802,               0.009802,               0.009802
                      8,                0.57973,                0.77953,                 1.2035,                0.77518,                0.84949,                0.87013,                0.76081,                0.45692,                0.77998,                 1.1618,               0.009769,               0.009769,               0.009769
                      9,                0.55189,                0.70231,                 1.1692,                0.76557,                0.80097,                0.83662,                0.73374,                0.49239,                 0.6212,                 1.1914,               0.009736,               0.009736,               0.009736
                     10,                0.53023,                 0.6858,                 1.1556,                0.84372,                0.86451,                0.90121,                0.82044,                0.39511,                0.59033,                  1.086,               0.009703,               0.009703,               0.009703
                     11,                0.50494,                0.64427,                 1.1331,                0.74132,                 0.7488,                0.79153,                0.70556,                0.43039,                0.56716,                 1.1089,                0.00967,                0.00967,                0.00967
                     12,                0.49799,                0.60684,                 1.1127,                 0.7698,                0.75438,                0.82185,                0.72302,                0.47857,                0.68046,                 1.1816,               0.009637,               0.009637,               0.009637
                     13,                0.47815,                0.59152,                 1.1048,                0.89294,                 0.9131,                0.93462,                0.87068,                0.36161,                0.42991,                 1.0446,               0.009604,               0.009604,               0.009604
                     14,                0.46889,                0.56377,                 1.1017,                0.73306,                0.83694,                0.85936,                0.79955,                0.33661,                0.58281,                 1.0016,               0.009571,               0.009571,               0.009571
                     15,                0.46195,                 0.5381,                 1.0914,                0.81178,                0.82276,                 0.8746,                0.81087,                0.32672,                0.48947,                0.99986,               0.009538,               0.009538,               0.009538
                     16,                0.45727,                0.53239,                 1.0859,                0.84882,                0.82756,                0.88001,                0.80941,                0.38333,                0.47292,                 1.0756,               0.009505,               0.009505,               0.009505
                     17,                0.44618,                0.51161,                  1.079,                0.78506,                0.81508,                0.85326,                0.76593,                0.37934,                0.64652,                 1.0636,               0.009472,               0.009472,               0.009472
                     18,                0.44353,                0.50397,                 1.0707,                0.88348,                 0.8477,                0.91584,                0.86567,                 0.3029,                 0.4193,                0.96984,               0.009439,               0.009439,               0.009439
                     19,                 0.4299,                0.49804,                 1.0646,                0.88238,                0.85321,                0.91597,                0.86938,                0.29486,                0.39799,                0.96884,               0.009406,               0.009406,               0.009406
                     20,                0.42436,                0.49341,                 1.0646,                0.85997,                0.88691,                 0.9244,                0.86548,                0.32955,                0.40171,                 1.0108,               0.009373,               0.009373,               0.009373
