                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7986,                 4.6595,                 4.3098,                0.00132,                0.62041,                0.00385,                0.00212,                 2.1092,                 4.1009,                 3.8626,               0.070484,              0.0032796,              0.0032796
                      2,                 2.2802,                  2.879,                 3.1567,                0.00132,                0.62041,                0.00385,                0.00212,                 2.1036,                 4.4688,                 3.7778,               0.040462,              0.0065911,              0.0065911
                      3,                 1.3885,                 1.8885,                 2.1417,                0.24115,                0.43727,                0.23838,                0.16138,                 1.0819,                 4.5391,                 1.9423,               0.010418,              0.0098806,              0.0098806
                      4,                0.95821,                 1.4405,                 1.6125,                 0.3539,                0.52821,                0.43265,                0.35363,                0.71094,                 1.5145,                 1.4647,               0.009901,               0.009901,               0.009901
                      5,                0.76202,                 1.1263,                 1.3818,                0.22589,                0.17785,                0.14033,                0.11151,                 0.9581,                 3.0106,                 1.7244,               0.009868,               0.009868,               0.009868
                      6,                0.66281,                0.92298,                 1.2748,                0.48111,                0.51854,                0.54532,                0.44297,                0.54796,                 1.4235,                 1.1608,               0.009835,               0.009835,               0.009835
                      7,                0.61189,                0.85951,                 1.2254,                0.58482,                0.65456,                0.66218,                0.56875,                 0.4636,                0.83873,                 1.1388,               0.009802,               0.009802,               0.009802
                      8,                0.56932,                0.75028,                 1.1705,                 0.7568,                0.86123,                0.85265,                0.74045,                0.43623,                0.65981,                  1.127,               0.009769,               0.009769,               0.009769
                      9,                0.53628,                0.67042,                 1.1367,                0.74201,                0.81307,                 0.8145,                 0.7233,                0.41806,                0.81189,                 1.0894,               0.009736,               0.009736,               0.009736
                     10,                0.52403,                0.66765,                 1.1262,                0.77943,                0.86961,                0.87799,                 0.8064,                0.38015,                0.51977,                  1.037,               0.009703,               0.009703,               0.009703
                     11,                0.49923,                0.61782,                 1.1108,                0.86375,                0.88165,                0.91843,                0.83755,                0.36088,                0.49646,                 1.0372,                0.00967,                0.00967,                0.00967
                     12,                0.48925,                0.59067,                 1.0876,                0.89872,                0.83123,                 0.9183,                0.84621,                0.34469,                0.42998,                0.99586,               0.009637,               0.009637,               0.009637
                     13,                0.47145,                0.57619,                 1.0844,                0.85287,                 0.9065,                0.92943,                0.86035,                 0.3511,                0.41487,                 1.0039,               0.009604,               0.009604,               0.009604
                     14,                0.45802,                0.53363,                 1.0748,                0.88904,                0.83562,                0.91199,                0.83886,                0.38878,                0.46586,                 1.0527,               0.009571,               0.009571,               0.009571
                     15,                0.45025,                0.52093,                  1.063,                0.69508,                0.83514,                0.88877,                0.83289,                0.31887,                0.57313,                0.97011,               0.009538,               0.009538,               0.009538
                     16,                0.44296,                0.51474,                 1.0562,                0.88798,                0.86707,                0.92689,                0.87141,                 0.3078,                0.40227,                0.96155,               0.009505,               0.009505,               0.009505
                     17,                0.43398,                0.49372,                 1.0502,                0.82869,                  0.895,                0.91094,                0.86236,                0.29974,                0.55034,                0.96196,               0.009472,               0.009472,               0.009472
                     18,                0.43402,                0.48771,                  1.045,                0.77683,                0.86189,                0.88074,                0.80521,                0.36659,                0.45158,                 1.0803,               0.009439,               0.009439,               0.009439
                     19,                0.42065,                0.48075,                 1.0413,                0.91366,                0.90047,                0.94099,                0.89756,                0.29456,                0.36856,                0.95419,               0.009406,               0.009406,               0.009406
                     20,                0.41651,                 0.4921,                  1.038,                0.88599,                0.90297,                0.93285,                0.86724,                0.33495,                0.37348,                 1.0037,               0.009373,               0.009373,               0.009373
                     21,                0.40972,                0.46519,                 1.0307,                0.85552,                0.93625,                0.94814,                0.90481,                0.28915,                0.34298,                0.95136,                0.00934,                0.00934,                0.00934
                     22,                0.40638,                0.46044,                 1.0266,                0.89374,                0.87073,                0.93608,                0.85473,                0.34863,                 0.3655,                  1.064,               0.009307,               0.009307,               0.009307
                     23,                0.40245,                0.45748,                 1.0217,                0.93859,                0.93374,                0.95901,                0.91484,                0.27827,                0.30718,                0.94656,               0.009274,               0.009274,               0.009274
                     24,                0.39897,                0.44428,                 1.0213,                0.93773,                0.88261,                0.95114,                0.91002,                0.28057,                0.33774,                 0.9407,               0.009241,               0.009241,               0.009241
                     25,                0.39814,                 0.4384,                 1.0183,                0.90949,                0.93068,                0.95305,                0.90446,                0.28718,                0.32326,                 0.9528,               0.009208,               0.009208,               0.009208
                     26,                0.38777,                0.43939,                 1.0119,                0.88769,                0.81134,                 0.8847,                0.81892,                0.33976,                0.42489,                 1.0214,               0.009175,               0.009175,               0.009175
                     27,                0.38223,                0.41903,                 1.0078,                0.90074,                 0.9168,                0.94407,                0.90868,                0.27624,                0.33716,                0.94619,               0.009142,               0.009142,               0.009142
                     28,                0.37956,                0.40794,                 1.0057,                0.92664,                0.88997,                0.95685,                0.91806,                0.27437,                0.33319,                0.93919,               0.009109,               0.009109,               0.009109
                     29,                 0.3805,                0.40708,                 1.0089,                0.89985,                0.87809,                0.94072,                0.86574,                0.34036,                0.39572,                 1.0236,               0.009076,               0.009076,               0.009076
                     30,                0.37269,                0.40192,                0.99909,                 0.9213,                0.91147,                0.95731,                0.92229,                0.26587,                 0.3047,                0.92864,               0.009043,               0.009043,               0.009043
                     31,                0.37256,                0.40976,                0.99806,                0.90031,                 0.9297,                0.95398,                0.91396,                0.26407,                 0.2914,                0.93293,                0.00901,                0.00901,                0.00901
                     32,                0.37726,                0.41302,                 1.0015,                0.92952,                0.88963,                0.95221,                0.91183,                0.26823,                0.32508,                0.93925,               0.008977,               0.008977,               0.008977
                     33,                0.37089,                0.40709,                0.99236,                0.93292,                0.91372,                0.95674,                0.90804,                0.29167,                0.30023,                0.96877,               0.008944,               0.008944,               0.008944
                     34,                0.37169,                 0.3866,                0.99521,                0.91174,                0.92807,                0.94926,                0.88308,                0.31271,                0.31909,                 0.9891,               0.008911,               0.008911,               0.008911
