                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7918,                 4.6238,                 4.2078,                0.00095,                0.62202,                0.00183,                0.00063,                 2.1103,                 4.1154,                 3.9281,               0.070484,              0.0032796,              0.0032796
                      2,                 2.2913,                 2.9782,                 3.1823,                0.00095,                0.62202,                0.00183,                0.00063,                 2.1211,                 4.4858,                 3.8979,               0.040462,              0.0065911,              0.0065911
                      3,                 1.4972,                 1.9978,                  2.267,                0.28842,                0.56751,                0.35508,                0.23263,                 1.1876,                 3.2559,                 2.0979,               0.010418,              0.0098806,              0.0098806
                      4,                 1.0403,                 1.5117,                  1.703,                0.25187,                0.40191,                0.27116,                 0.1905,                0.99756,                 2.2039,                 1.9697,               0.009901,               0.009901,               0.009901
                      5,                0.80383,                 1.1871,                  1.442,                 0.5756,                0.62439,                0.62809,                0.47793,                 0.6406,                 1.0092,                 1.4468,               0.009868,               0.009868,               0.009868
                      6,                0.67787,                0.97414,                 1.3086,                0.67945,                0.61993,                0.68803,                0.57978,                0.55412,                 1.0441,                 1.2384,               0.009835,               0.009835,               0.009835
                      7,                0.62871,                0.91382,                 1.2569,                0.48587,                0.61202,                0.55731,                0.49015,                0.46688,                 1.1941,                   1.16,               0.009802,               0.009802,               0.009802
                      8,                0.57579,                0.79633,                 1.1947,                0.71064,                0.72093,                0.78686,                0.68429,                0.47633,                0.75398,                 1.1479,               0.009769,               0.009769,               0.009769
                      9,                0.54168,                0.70627,                 1.1592,                0.78063,                0.79103,                0.84139,                0.74998,                0.42461,                0.59967,                  1.106,               0.009736,               0.009736,               0.009736
                     10,                0.52586,                0.69564,                 1.1436,                 0.6921,                0.65883,                 0.7408,                0.66575,                0.41642,                0.95994,                 1.0875,               0.009703,               0.009703,               0.009703
                     11,                0.50432,                 0.6441,                 1.1323,                0.82189,                0.81831,                0.87547,                0.77858,                0.40774,                 0.5381,                    1.1,                0.00967,                0.00967,                0.00967
                     12,                0.49521,                0.61439,                  1.109,                0.84561,                0.84577,                0.89908,                0.82574,                0.34453,                 0.4926,                 1.0143,               0.009637,               0.009637,               0.009637
                     13,                0.47458,                0.60364,                 1.1012,                0.89183,                 0.8582,                0.92249,                 0.8456,                0.36965,                0.47331,                 1.0439,               0.009604,               0.009604,               0.009604
                     14,                0.46748,                0.56834,                  1.097,                0.70384,                 0.7879,                0.83858,                0.77848,                0.33328,                0.63622,                0.99779,               0.009571,               0.009571,               0.009571
