                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8303,                 4.5921,                   4.27,                 0.0012,                 0.6317,                0.00574,                0.00169,                 2.1056,                 4.1352,                 3.8899,               0.070484,              0.0032796,              0.0032796
                      2,                   2.36,                 2.9184,                 3.2562,                 0.0012,                 0.6317,                0.00574,                0.00169,                 2.1006,                 4.5112,                 3.8316,               0.040462,              0.0065911,              0.0065911
                      3,                  1.498,                 1.9966,                 2.3048,                0.15002,                0.41006,                0.22242,                0.13389,                  1.275,                 4.3632,                 2.2323,               0.010418,              0.0098806,              0.0098806
                      4,                  1.017,                 1.4922,                 1.7198,                0.16182,                0.26426,                0.17967,                0.14939,                0.75297,                 4.2016,                 1.6606,               0.009901,               0.009901,               0.009901
                      5,                0.78078,                  1.169,                 1.4359,                0.44932,                0.58551,                0.50564,                 0.4164,                0.64789,                 1.3192,                 1.4125,               0.009868,               0.009868,               0.009868
                      6,                0.66675,                0.93721,                 1.3057,                0.71723,                0.65625,                0.70846,                0.59879,                0.52522,                 0.9608,                 1.2521,               0.009835,               0.009835,               0.009835
                      7,                0.61277,                 0.8761,                 1.2491,                0.68184,                0.68399,                  0.729,                0.61873,                0.49371,                0.74677,                 1.2741,               0.009802,               0.009802,               0.009802
                      8,                 0.5698,                0.77211,                 1.1991,                0.72781,                0.85731,                0.85503,                0.71392,                0.51389,                0.86926,                 1.2723,               0.009769,               0.009769,               0.009769
                      9,                0.53298,                0.68268,                 1.1586,                0.82508,                0.80078,                0.88151,                0.79553,                0.41034,                 0.5529,                 1.0903,               0.009736,               0.009736,               0.009736
                     10,                0.52025,                0.68054,                 1.1509,                0.78053,                0.86407,                0.90151,                0.81167,                0.40727,                0.52005,                 1.1086,               0.009703,               0.009703,               0.009703
                     11,                0.50171,                0.62918,                 1.1326,                0.84333,                0.86467,                0.90704,                0.83161,                0.39843,                 0.5276,                 1.0893,                0.00967,                0.00967,                0.00967
                     12,                0.49168,                0.59927,                 1.1134,                0.88197,                0.90426,                0.93358,                0.86157,                0.34936,                0.43163,                 1.0392,               0.009637,               0.009637,               0.009637
                     13,                0.47875,                  0.591,                 1.1108,                0.86542,                0.86332,                0.91366,                0.85778,                0.33014,                0.41403,                 1.0066,               0.009604,               0.009604,               0.009604
                     14,                0.46167,                  0.552,                 1.1029,                0.82106,                0.85056,                0.91646,                0.79426,                0.43514,                0.56068,                 1.1373,               0.009571,               0.009571,               0.009571
                     15,                0.45555,                0.54245,                 1.0908,                0.88041,                0.90127,                0.93124,                0.87933,                0.31078,                0.38707,                0.98506,               0.009538,               0.009538,               0.009538
                     16,                0.44568,                  0.523,                 1.0824,                0.82298,                0.87186,                 0.9315,                0.88268,                0.29969,                0.49984,                 0.9705,               0.009505,               0.009505,               0.009505
                     17,                 0.4412,                0.50201,                 1.0753,                0.84259,                0.90579,                0.92464,                0.86407,                0.32471,                0.42432,                 0.9877,               0.009472,               0.009472,               0.009472
                     18,                0.43553,                0.50072,                  1.064,                0.88635,                0.88482,                0.93108,                0.87925,                0.31073,                0.40279,                0.97745,               0.009439,               0.009439,               0.009439
                     19,                0.42566,                0.48271,                  1.065,                0.86437,                0.87585,                0.91956,                0.87695,                0.28954,                0.41496,                 0.9666,               0.009406,               0.009406,               0.009406
                     20,                 0.4169,                0.49016,                 1.0599,                0.89562,                 0.9091,                 0.9331,                 0.8933,                0.28964,                0.35917,                0.96068,               0.009373,               0.009373,               0.009373
                     21,                0.40953,                0.47342,                 1.0529,                0.86767,                0.87407,                0.91472,                0.86324,                0.29837,                0.39957,                0.97622,                0.00934,                0.00934,                0.00934
                     22,                0.40625,                0.45108,                 1.0498,                0.87521,                0.89615,                0.93691,                0.86076,                0.34129,                 0.3692,                 1.0234,               0.009307,               0.009307,               0.009307
                     23,                0.40118,                0.46278,                 1.0433,                0.84243,                0.87739,                0.91678,                 0.8733,                0.29081,                0.40015,                0.96674,               0.009274,               0.009274,               0.009274
                     24,                0.40344,                0.45574,                  1.044,                0.88491,                0.92181,                0.95145,                0.90839,                0.28104,                0.35394,                0.95558,               0.009241,               0.009241,               0.009241
                     25,                0.40371,                 0.4422,                 1.0429,                0.84674,                0.83942,                0.89829,                0.85585,                0.28712,                0.39609,                 0.9671,               0.009208,               0.009208,               0.009208
                     26,                0.38985,                0.44001,                 1.0399,                0.92264,                0.90228,                0.94215,                0.90302,                0.28221,                0.33392,                0.95573,               0.009175,               0.009175,               0.009175
                     27,                 0.3798,                0.42203,                 1.0291,                0.92721,                0.92141,                0.95377,                0.91834,                0.27712,                0.30685,                 0.9542,               0.009142,               0.009142,               0.009142
                     28,                 0.3829,                0.41755,                 1.0311,                0.91376,                0.93054,                0.95338,                0.91243,                0.27814,                0.31628,                0.94907,               0.009109,               0.009109,               0.009109
                     29,                0.37967,                0.40993,                 1.0301,                 0.9291,                0.89129,                0.95073,                0.91756,                0.26532,                0.34913,                0.94041,               0.009076,               0.009076,               0.009076
                     30,                0.37028,                 0.4109,                 1.0194,                0.90768,                0.92489,                0.95798,                0.92025,                0.27082,                0.31268,                 0.9451,               0.009043,               0.009043,               0.009043
                     31,                0.37048,                0.40895,                 1.0182,                0.91141,                0.90295,                0.94043,                0.90671,                0.26854,                0.31988,                0.94357,                0.00901,                0.00901,                0.00901
                     32,                0.37775,                 0.4178,                 1.0244,                0.90823,                 0.9086,                0.95141,                0.89837,                0.30374,                0.32707,                0.97909,               0.008977,               0.008977,               0.008977
                     33,                0.37113,                0.41383,                 1.0164,                0.91192,                0.92319,                0.95935,                0.91745,                0.27678,                0.30663,                0.95089,               0.008944,               0.008944,               0.008944
                     34,                0.37267,                0.38843,                 1.0153,                0.91365,                0.90526,                0.94911,                0.88978,                0.30526,                0.33703,                0.97619,               0.008911,               0.008911,               0.008911
                     35,                0.36667,                0.40301,                 1.0136,                0.93334,                0.94267,                0.96789,                0.93495,                0.26104,                0.27889,                0.93116,               0.008878,               0.008878,               0.008878
