                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8947,                 3.7272,                 3.6309,                0.00014,                0.01739,                  8e-05,                  2e-05,                 4.1413,                 4.1243,                 3.6747,               0.070484,              0.0032796,              0.0032796
                      2,                 2.3918,                 2.1378,                 2.2057,                0.02988,                0.24526,                0.06805,                0.02375,                  2.793,                 3.2527,                 2.8753,               0.040462,              0.0065911,              0.0065911
                      3,                 1.8861,                 1.6576,                 1.6987,                0.46466,                0.19648,                0.16021,                0.07931,                  1.976,                 1.9799,                 1.8619,               0.010418,              0.0098806,              0.0098806
                      4,                 1.5858,                 1.3361,                 1.4511,                0.75394,                0.31935,                0.37743,                0.22705,                 1.3387,                 1.4898,                 1.3956,               0.009901,               0.009901,               0.009901
                      5,                 1.4034,                 1.1018,                 1.3077,                0.60838,                0.37937,                0.35833,                0.21623,                  1.343,                  1.465,                 1.3807,               0.009868,               0.009868,               0.009868
                      6,                 1.2922,                0.98352,                 1.2443,                0.82603,                0.53852,                0.59402,                0.42066,                 1.0603,                0.86204,                 1.1872,               0.009835,               0.009835,               0.009835
                      7,                 1.2318,                0.89054,                 1.2062,                0.78303,                0.55595,                0.60387,                0.42463,                 1.0682,                0.85068,                 1.1793,               0.009802,               0.009802,               0.009802
                      8,                  1.184,                0.84385,                 1.1725,                0.83554,                0.58538,                0.65773,                0.47686,                 1.0772,                0.75897,                 1.1599,               0.009769,               0.009769,               0.009769
                      9,                 1.1374,                0.77726,                 1.1445,                 0.7171,                0.63691,                0.69411,                0.52488,                0.94756,                 0.7122,                 1.0985,               0.009736,               0.009736,               0.009736
                     10,                 1.1051,                0.75283,                 1.1324,                0.86543,                0.61346,                0.70634,                0.53431,                0.95294,                0.66188,                 1.0981,               0.009703,               0.009703,               0.009703
                     11,                 1.0635,                0.72302,                 1.1144,                0.85434,                0.62231,                0.72074,                0.52662,                 1.0385,                0.71436,                  1.133,                0.00967,                0.00967,                0.00967
                     12,                 1.0286,                0.69154,                 1.0914,                0.81919,                0.67776,                 0.7529,                0.57677,                0.89395,                0.61772,                 1.0654,               0.009637,               0.009637,               0.009637
                     13,                0.99976,                0.67195,                 1.0718,                0.71545,                0.77137,                0.81305,                0.61612,                0.93675,                0.59479,                 1.0759,               0.009604,               0.009604,               0.009604
                     14,                0.98174,                0.64989,                 1.0758,                0.75222,                 0.7415,                0.79815,                0.62294,                0.86799,                0.59154,                 1.0481,               0.009571,               0.009571,               0.009571
                     15,                 0.9714,                0.64313,                   1.07,                0.81317,                0.77154,                0.81947,                0.64705,                  0.863,                0.57271,                 1.0422,               0.009538,               0.009538,               0.009538
                     16,                0.95679,                0.62857,                 1.0578,                0.82689,                0.76035,                0.83276,                0.65601,                0.84214,                0.54674,                 1.0291,               0.009505,               0.009505,               0.009505
                     17,                0.94227,                 0.6094,                 1.0429,                0.87938,                0.76314,                0.86103,                0.67524,                0.82482,                0.53083,                 1.0175,               0.009472,               0.009472,               0.009472
                     18,                0.93568,                0.60533,                 1.0419,                0.89427,                 0.7665,                0.86048,                 0.6886,                0.81186,                0.50933,                 1.0098,               0.009439,               0.009439,               0.009439
                     19,                0.92006,                0.59674,                  1.041,                0.83703,                0.75994,                0.84626,                0.67419,                 0.8137,                0.51027,                 1.0107,               0.009406,               0.009406,               0.009406
                     20,                0.91826,                0.58657,                 1.0369,                0.83436,                0.80524,                0.86371,                0.69708,                0.80396,                0.50054,                 1.0049,               0.009373,               0.009373,               0.009373
                     21,                0.90089,                0.56979,                 1.0232,                0.83287,                 0.7978,                0.86389,                0.69067,                0.82201,                0.50887,                 1.0127,                0.00934,                0.00934,                0.00934
                     22,                0.88883,                0.56519,                  1.019,                0.89435,                  0.805,                0.89571,                0.72285,                0.79443,                0.48737,                 0.9986,               0.009307,               0.009307,               0.009307
                     23,                0.88483,                 0.5597,                 1.0203,                0.89448,                0.78567,                0.87307,                0.70024,                0.79838,                0.50772,                 1.0024,               0.009274,               0.009274,               0.009274
                     24,                0.87649,                0.55449,                 1.0168,                0.84443,                0.85132,                  0.901,                0.72404,                0.80289,                0.48375,                 1.0023,               0.009241,               0.009241,               0.009241
                     25,                0.88164,                0.55451,                 1.0142,                0.89194,                0.81443,                0.90292,                0.73249,                0.77601,                0.47926,                0.99099,               0.009208,               0.009208,               0.009208
                     26,                0.87359,                0.54938,                 1.0178,                0.82582,                0.84479,                0.90074,                0.72614,                0.79154,                0.46685,                0.99619,               0.009175,               0.009175,               0.009175
                     27,                0.86036,                0.53722,                 1.0069,                  0.903,                0.79689,                 0.8952,                0.72589,                0.77054,                  0.466,                0.98312,               0.009142,               0.009142,               0.009142
                     28,                0.86546,                0.53277,                 1.0091,                0.88893,                0.80887,                 0.8936,                0.72873,                0.76777,                0.45841,                 0.9823,               0.009109,               0.009109,               0.009109
                     29,                0.85359,                0.53006,                 1.0048,                0.90101,                0.85177,                0.92069,                0.74644,                0.75859,                0.45414,                0.97921,               0.009076,               0.009076,               0.009076
                     30,                0.85489,                0.52049,                0.99649,                0.87908,                 0.8745,                0.92963,                0.74888,                0.75181,                0.45101,                0.97541,               0.009043,               0.009043,               0.009043
                     31,                0.84189,                0.52034,                0.99119,                0.87051,                0.87482,                0.92445,                  0.755,                0.75904,                0.44942,                 0.9776,                0.00901,                0.00901,                0.00901
