                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9847,                 3.8357,                 3.6318,                  9e-05,                0.01364,                  6e-05,                  2e-05,                 4.0991,                 4.0002,                 3.5235,               0.070484,              0.0032796,              0.0032796
                      2,                 2.4486,                 2.1786,                 2.2465,                0.03007,                0.22072,                 0.0771,                0.03037,                 2.7369,                  3.361,                 2.8063,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9052,                 1.6596,                 1.7236,                0.53599,                0.27559,                0.26072,                0.13812,                 1.6689,                 1.8242,                 1.6705,               0.010418,              0.0098806,              0.0098806
                      4,                   1.59,                 1.3505,                  1.466,                0.67003,                0.35697,                 0.3685,                0.20903,                 1.5068,                 1.4725,                 1.5191,               0.009901,               0.009901,               0.009901
                      5,                 1.4089,                  1.106,                 1.3227,                 0.7045,                0.45971,                0.47109,                0.29331,                 1.2406,                 1.2168,                 1.3162,               0.009868,               0.009868,               0.009868
                      6,                 1.2918,                0.98783,                 1.2531,                0.77697,                0.50008,                0.54763,                0.36776,                 1.1873,                0.91507,                 1.2744,               0.009835,               0.009835,               0.009835
                      7,                 1.2249,                0.89744,                 1.2117,                0.83783,                0.56516,                0.63342,                0.44905,                 1.0931,                0.78667,                 1.1985,               0.009802,               0.009802,               0.009802
                      8,                 1.1724,                0.84044,                 1.1748,                  0.854,                0.57036,                0.64592,                0.47639,                 1.0234,                0.74733,                 1.1654,               0.009769,               0.009769,               0.009769
                      9,                 1.1117,                0.76925,                 1.1414,                 0.8589,                 0.5914,                0.67375,                0.50365,                0.95867,                0.71726,                 1.1188,               0.009736,               0.009736,               0.009736
                     10,                 1.0781,                0.75023,                  1.127,                0.81328,                0.61253,                0.67362,                 0.4936,                0.97929,                0.75278,                 1.1261,               0.009703,               0.009703,               0.009703
                     11,                 1.0431,                0.71411,                 1.1092,                0.77326,                0.67237,                 0.7318,                0.55521,                0.93385,                0.63218,                 1.0926,                0.00967,                0.00967,                0.00967
                     12,                 1.0121,                0.68495,                 1.0902,                0.69339,                0.71035,                0.75318,                0.58939,                0.88779,                0.61479,                 1.0703,               0.009637,               0.009637,               0.009637
                     13,                0.99541,                0.66429,                 1.0744,                 0.7632,                0.73022,                0.78368,                0.60342,                0.89793,                0.58673,                 1.0724,               0.009604,               0.009604,               0.009604
                     14,                0.97352,                0.64862,                 1.0753,                0.80336,                0.73984,                0.80394,                 0.6348,                0.85166,                0.57924,                  1.048,               0.009571,               0.009571,               0.009571
                     15,                0.96034,                0.63725,                 1.0699,                0.83748,                0.71743,                 0.8075,                0.63615,                0.86705,                0.58788,                 1.0532,               0.009538,               0.009538,               0.009538
                     16,                0.94811,                0.62034,                 1.0585,                0.76141,                0.77291,                0.82632,                0.65868,                0.82076,                 0.5472,                 1.0267,               0.009505,               0.009505,               0.009505
                     17,                0.93236,                 0.6086,                 1.0433,                0.76042,                0.77916,                0.82161,                0.65563,                0.81691,                0.53358,                 1.0193,               0.009472,               0.009472,               0.009472
