                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9305,                 3.8247,                 3.6156,                0.00015,                0.02052,                0.00022,                  4e-05,                 4.1493,                 4.0429,                 3.6483,               0.070484,              0.0032796,              0.0032796
                      2,                  2.435,                 2.1898,                 2.1946,                0.61296,                0.04826,                0.07078,                0.02327,                 2.7638,                 3.0255,                  2.766,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9376,                 1.6804,                 1.7287,                0.55796,                0.32364,                0.28841,                0.13702,                 1.7043,                  1.707,                 1.6697,               0.010418,              0.0098806,              0.0098806
                      4,                 1.6229,                 1.3617,                 1.4668,                0.58578,                0.42928,                0.35593,                0.19645,                  1.436,                 1.3615,                 1.4327,               0.009901,               0.009901,               0.009901
                      5,                 1.4284,                 1.1223,                 1.3199,                0.73236,                0.46226,                0.49932,                0.31508,                 1.2087,                 1.1612,                 1.2828,               0.009868,               0.009868,               0.009868
                      6,                 1.3109,                0.99113,                 1.2481,                0.82026,                0.51595,                0.58518,                0.40229,                 1.1037,                0.88497,                 1.2072,               0.009835,               0.009835,               0.009835
                      7,                 1.2448,                0.90413,                 1.2113,                0.72174,                0.49245,                0.51559,                0.33957,                 1.1463,                0.94824,                 1.2142,               0.009802,               0.009802,               0.009802
                      8,                 1.1997,                0.84748,                 1.1731,                0.83675,                0.57588,                0.62972,                0.42566,                 1.1745,                0.81609,                 1.2106,               0.009769,               0.009769,               0.009769
                      9,                 1.1424,                0.78593,                 1.1423,                0.83673,                0.58839,                0.67718,                0.49975,                0.97577,                0.75021,                 1.1069,               0.009736,               0.009736,               0.009736
                     10,                 1.1054,                0.75903,                 1.1312,                0.71302,                0.69414,                 0.7593,                0.56649,                0.94588,                0.65607,                 1.0951,               0.009703,               0.009703,               0.009703
                     11,                  1.064,                0.72673,                 1.1118,                0.72475,                0.69589,                0.74191,                0.55231,                0.95567,                 0.6716,                 1.0913,                0.00967,                0.00967,                0.00967
                     12,                  1.035,                0.70037,                 1.0936,                0.77841,                0.66997,                0.75109,                0.56552,                0.92175,                0.64971,                 1.0735,               0.009637,               0.009637,               0.009637
                     13,                 1.0053,                0.68093,                 1.0727,                0.74271,                0.72077,                0.79124,                0.59492,                0.94547,                0.62698,                 1.0788,               0.009604,               0.009604,               0.009604
                     14,                 0.9866,                0.65871,                 1.0756,                 0.8248,                0.74549,                0.81899,                0.63156,                0.87041,                0.60663,                 1.0438,               0.009571,               0.009571,               0.009571
                     15,                0.97496,                0.64816,                 1.0716,                0.74344,                0.76833,                0.80515,                0.62534,                0.89146,                0.57979,                 1.0515,               0.009538,               0.009538,               0.009538
                     16,                0.95847,                0.62852,                 1.0574,                0.82618,                0.73518,                0.82266,                0.64796,                0.84607,                0.56593,                  1.029,               0.009505,               0.009505,               0.009505
