                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0665,                 3.9583,                 3.5916,                 0.0001,                0.01302,                  6e-05,                  2e-05,                  4.048,                 3.9763,                 3.3354,               0.070484,              0.0032796,              0.0032796
                      2,                 2.5207,                  2.288,                 2.2611,                 0.0001,                0.01302,                  6e-05,                  2e-05,                 4.0373,                  4.422,                  3.384,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9336,                 1.7171,                 1.7144,                0.48762,                0.23359,                0.19422,                 0.0992,                  1.888,                 1.8044,                 1.7873,               0.010418,              0.0098806,              0.0098806
                      4,                 1.5888,                 1.3731,                 1.4477,                 0.6036,                0.42902,                0.40898,                0.24282,                 1.3572,                 1.6277,                 1.3991,               0.009901,               0.009901,               0.009901
                      5,                 1.4006,                 1.1252,                  1.299,                0.73738,                0.45649,                 0.4919,                0.30824,                 1.2604,                 1.3733,                  1.308,               0.009868,               0.009868,               0.009868
                      6,                 1.2855,                0.98809,                  1.235,                0.82504,                0.51499,                0.59095,                0.41864,                 1.0773,                0.88301,                 1.1849,               0.009835,               0.009835,               0.009835
                      7,                 1.2253,                0.89698,                  1.193,                0.53802,                0.53153,                0.60873,                0.43251,                 1.0603,                0.80788,                 1.1582,               0.009802,               0.009802,               0.009802
                      8,                  1.175,                0.84569,                 1.1609,                0.86587,                0.57482,                0.66289,                 0.4867,                0.99757,                0.73116,                 1.1147,               0.009769,               0.009769,               0.009769
                      9,                 1.1261,                0.77339,                 1.1328,                0.87066,                0.57064,                0.69177,                0.50239,                0.98426,                0.71373,                  1.113,               0.009736,               0.009736,               0.009736
                     10,                 1.0963,                0.74888,                 1.1223,                 0.8497,                0.60337,                0.72257,                0.54579,                0.95417,                0.68108,                 1.0847,               0.009703,               0.009703,               0.009703
                     11,                 1.0539,                0.72054,                 1.1054,                 0.8502,                0.59626,                 0.6908,                0.51132,                0.97847,                0.70853,                 1.0998,                0.00967,                0.00967,                0.00967
