                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.941,                 3.7151,                 3.6458,                  9e-05,                0.01302,                  6e-05,                  2e-05,                 4.0927,                 4.1947,                  3.489,               0.070484,              0.0032796,              0.0032796
                      2,                 2.4704,                 2.1252,                 2.2364,                0.06347,                0.17163,                0.06071,                0.02106,                 3.0859,                 3.6571,                 2.9944,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9251,                 1.6422,                 1.7116,                0.29852,                0.28614,                0.25046,                0.12969,                 1.7154,                 1.9784,                 1.7078,               0.010418,              0.0098806,              0.0098806
                      4,                 1.6001,                 1.3376,                  1.454,                0.63158,                0.30501,                0.33423,                 0.1961,                 1.4416,                 1.8192,                 1.4826,               0.009901,               0.009901,               0.009901
                      5,                 1.4126,                 1.1153,                 1.3098,                0.68891,                0.47381,                0.48647,                0.29439,                 1.2583,                 1.2841,                 1.3042,               0.009868,               0.009868,               0.009868
                      6,                 1.3032,                0.98582,                 1.2466,                0.79917,                0.54243,                0.59522,                 0.3964,                 1.2023,                 0.9313,                  1.268,               0.009835,               0.009835,               0.009835
                      7,                 1.2395,                0.90041,                 1.2087,                0.80421,                0.50295,                0.55457,                0.37761,                 1.1601,                0.97515,                 1.2205,               0.009802,               0.009802,               0.009802
                      8,                  1.196,                0.85077,                 1.1762,                0.86168,                0.57879,                0.68833,                0.49001,                 1.0898,                0.72749,                 1.1672,               0.009769,               0.009769,               0.009769
                      9,                  1.136,                0.78573,                 1.1442,                0.74395,                0.64073,                0.70374,                 0.4899,                 1.0626,                0.79986,                 1.1661,               0.009736,               0.009736,               0.009736
                     10,                 1.1041,                0.75458,                 1.1327,                0.76179,                0.66553,                0.71934,                0.53456,                0.97927,                0.70851,                 1.1193,               0.009703,               0.009703,               0.009703
                     11,                 1.0633,                0.72528,                 1.1146,                0.70248,                0.73757,                0.77533,                 0.5914,                0.91741,                0.63918,                 1.0766,                0.00967,                0.00967,                0.00967
                     12,                  1.034,                0.69782,                 1.0965,                0.72256,                0.72348,                0.77637,                0.58931,                 0.9168,                0.61039,                 1.0768,               0.009637,               0.009637,               0.009637
                     13,                 1.0026,                0.67631,                 1.0749,                0.73469,                0.70131,                 0.7578,                0.57245,                0.92614,                0.63357,                 1.0757,               0.009604,               0.009604,               0.009604
                     14,                0.98939,                0.65499,                 1.0793,                0.74629,                0.74894,                0.79054,                0.59934,                0.92268,                0.63917,                 1.0804,               0.009571,               0.009571,               0.009571
                     15,                0.97672,                0.64751,                 1.0737,                0.81683,                0.74148,                 0.8158,                0.62536,                0.87739,                 0.5642,                 1.0539,               0.009538,               0.009538,               0.009538
                     16,                 0.9599,                  0.634,                 1.0599,                 0.7864,                0.81889,                0.85059,                0.66736,                 0.8325,                0.54027,                 1.0261,               0.009505,               0.009505,               0.009505
                     17,                0.94469,                0.61617,                 1.0472,                0.85227,                0.76495,                0.84659,                0.67285,                0.82464,                0.53544,                 1.0211,               0.009472,               0.009472,               0.009472
                     18,                0.94119,                0.60972,                  1.047,                0.83602,                0.77689,                 0.8538,                 0.6759,                0.82178,                 0.5192,                 1.0195,               0.009439,               0.009439,               0.009439
                     19,                0.92781,                 0.5952,                 1.0463,                0.88199,                0.75618,                0.84503,                0.67631,                0.81481,                0.52519,                 1.0165,               0.009406,               0.009406,               0.009406
                     20,                0.92472,                0.59514,                 1.0415,                0.88548,                0.76891,                0.85105,                0.67649,                0.82399,                0.53049,                 1.0163,               0.009373,               0.009373,               0.009373
                     21,                0.90505,                0.57849,                 1.0278,                0.84557,                0.77472,                0.85184,                0.67676,                0.80978,                0.50674,                 1.0135,                0.00934,                0.00934,                0.00934
                     22,                0.89637,                0.57128,                 1.0247,                0.82423,                0.78266,                0.86802,                0.69695,                0.79913,                0.50047,                 1.0065,               0.009307,               0.009307,               0.009307
                     23,                0.88925,                0.56328,                 1.0247,                0.87352,                0.78298,                0.86197,                0.69343,                0.80331,                0.50891,                 1.0075,               0.009274,               0.009274,               0.009274
                     24,                0.88223,                0.55327,                 1.0206,                0.85994,                0.80584,                0.88562,                0.72116,                0.77799,                0.47359,                 0.9948,               0.009241,               0.009241,               0.009241
                     25,                 0.8835,                0.55682,                  1.018,                0.85389,                0.82426,                0.89154,                0.71919,                0.77533,                0.47291,                0.99256,               0.009208,               0.009208,               0.009208
                     26,                0.87731,                0.54704,                 1.0202,                 0.8718,                0.82186,                0.89181,                0.72022,                0.77731,                0.46849,                 0.9911,               0.009175,               0.009175,               0.009175
                     27,                0.86572,                 0.5435,                 1.0107,                0.86589,                 0.8332,                0.89942,                0.72846,                 0.7691,                0.46652,                0.98685,               0.009142,               0.009142,               0.009142
                     28,                0.87066,                0.53565,                 1.0119,                0.89054,                 0.8126,                0.89348,                0.72966,                0.76423,                0.45578,                0.98075,               0.009109,               0.009109,               0.009109
                     29,                0.85624,                0.53666,                 1.0089,                 0.8555,                0.86515,                0.91142,                0.74598,                0.75995,                0.45293,                0.98376,               0.009076,               0.009076,               0.009076
                     30,                 0.8576,                0.52489,                 1.0004,                0.88344,                0.83103,                0.91208,                0.73675,                0.76244,                0.46297,                0.98315,               0.009043,               0.009043,               0.009043
                     31,                0.84811,                0.52774,                0.99647,                0.84142,                0.86898,                0.91073,                0.74756,                0.75374,                0.45055,                0.97971,                0.00901,                0.00901,                0.00901
                     32,                0.84878,                0.52144,                 1.0015,                0.88086,                0.83955,                0.90354,                0.74143,                0.75319,                0.44296,                0.97868,               0.008977,               0.008977,               0.008977
                     33,                0.83881,                 0.5136,                0.99346,                0.88538,                 0.8388,                0.91316,                0.74681,                0.75642,                0.44443,                0.97696,               0.008944,               0.008944,               0.008944
                     34,                0.83304,                 0.5063,                0.99293,                0.90342,                0.82547,                0.90787,                0.73728,                0.76031,                0.45458,                 0.9781,               0.008911,               0.008911,               0.008911
                     35,                0.82812,                0.50544,                0.99075,                0.90256,                0.83318,                0.91637,                0.75528,                 0.7496,                0.43294,                0.97515,               0.008878,               0.008878,               0.008878
                     36,                0.83058,                0.50508,                 0.9979,                0.87305,                 0.8748,                0.92618,                0.75967,                0.74497,                0.43047,                0.97344,               0.008845,               0.008845,               0.008845
                     37,                0.82653,                0.49846,                0.99141,                0.88706,                0.84691,                0.91738,                0.74957,                0.74785,                0.43955,                0.97132,               0.008812,               0.008812,               0.008812
                     38,                0.82717,                0.50011,                0.99802,                0.87712,                0.84981,                0.91833,                0.75322,                 0.7462,                0.43819,                0.97038,               0.008779,               0.008779,               0.008779
                     39,                 0.8298,                0.49612,                0.98552,                 0.8903,                0.87303,                0.93564,                0.76912,                0.74495,                0.43855,                0.96915,               0.008746,               0.008746,               0.008746
                     40,                0.81461,                0.49036,                0.98449,                0.87089,                0.89014,                0.92117,                0.75556,                0.75267,                0.43594,                 0.9737,               0.008713,               0.008713,               0.008713
                     41,                0.81805,                0.49378,                0.98756,                0.90442,                0.86274,                0.93222,                0.76654,                0.73607,                 0.4149,                0.96525,                0.00868,                0.00868,                0.00868
                     42,                0.81265,                0.48732,                0.98154,                0.88506,                0.87739,                0.93324,                0.77153,                0.73382,                0.41879,                0.96496,               0.008647,               0.008647,               0.008647
                     43,                0.80986,                0.48501,                 0.9886,                0.89463,                0.88061,                0.93167,                0.76581,                0.74838,                 0.4229,                 0.9737,               0.008614,               0.008614,               0.008614
