                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9921,                 3.8673,                 3.5753,                0.00016,                0.01989,                0.00015,                  4e-05,                 4.0614,                 4.0759,                 3.4041,               0.070484,              0.0032796,              0.0032796
                      2,                 2.4052,                 2.1909,                 2.1749,                0.00016,                0.01989,                0.00015,                  4e-05,                 4.0479,                 4.4837,                 3.4191,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9016,                 1.7075,                  1.698,                0.53466,                0.27181,                0.22453,                 0.1249,                 1.6385,                 1.7174,                 1.6443,               0.010418,              0.0098806,              0.0098806
                      4,                 1.5846,                 1.3707,                 1.4315,                0.68027,                0.38449,                0.41083,                0.24811,                  1.328,                 1.2915,                 1.3729,               0.009901,               0.009901,               0.009901
                      5,                 1.3952,                 1.1287,                 1.2909,                0.67467,                0.41203,                0.42934,                 0.2677,                 1.2574,                 1.4152,                 1.3147,               0.009868,               0.009868,               0.009868
                      6,                 1.2875,                0.98072,                 1.2285,                0.82908,                0.54642,                0.60616,                0.42881,                 1.0805,                0.84479,                 1.1804,               0.009835,               0.009835,               0.009835
                      7,                 1.2159,                0.90968,                 1.1904,                0.82723,                0.55506,                0.61219,                0.44071,                 1.0646,                0.78902,                 1.1491,               0.009802,               0.009802,               0.009802
                      8,                 1.1805,                0.84784,                 1.1591,                  0.841,                0.56822,                  0.631,                0.46621,                0.99554,                0.76585,                 1.1195,               0.009769,               0.009769,               0.009769
                      9,                 1.1267,                0.78026,                  1.132,                0.84715,                 0.5642,                  0.684,                0.50092,                0.99673,                0.78634,                 1.1127,               0.009736,               0.009736,               0.009736
                     10,                 1.1026,                0.75162,                 1.1231,                0.86581,                0.60349,                0.71475,                 0.5451,                0.93507,                0.69016,                 1.0785,               0.009703,               0.009703,               0.009703
                     11,                 1.0609,                0.72683,                 1.1071,                0.76792,                0.68225,                0.76741,                 0.5828,                0.93499,                0.64292,                 1.0722,                0.00967,                0.00967,                0.00967
                     12,                 1.0261,                0.69318,                 1.0856,                0.65783,                0.70939,                0.74582,                0.56694,                0.91495,                0.62428,                 1.0684,               0.009637,               0.009637,               0.009637
                     13,                 1.0029,                 0.6719,                 1.0654,                0.70971,                0.76156,                0.78623,                0.60841,                0.90964,                0.59586,                 1.0641,               0.009604,               0.009604,               0.009604
                     14,                0.97884,                0.64701,                 1.0684,                 0.7279,                0.70123,                0.75097,                0.59357,                0.86682,                0.61796,                  1.041,               0.009571,               0.009571,               0.009571
                     15,                0.96542,                0.64312,                 1.0623,                0.80293,                0.73878,                0.80353,                0.62609,                0.86087,                0.56316,                 1.0385,               0.009538,               0.009538,               0.009538
                     16,                0.95326,                0.62466,                  1.051,                0.80367,                0.76979,                 0.8337,                0.65901,                0.83672,                0.53158,                 1.0208,               0.009505,               0.009505,               0.009505
                     17,                0.93208,                0.61132,                 1.0358,                 0.8096,                0.75505,                0.83177,                0.65703,                  0.841,                0.54391,                 1.0217,               0.009472,               0.009472,               0.009472
                     18,                0.93106,                0.60318,                 1.0374,                0.80701,                0.78725,                0.84281,                0.66958,                0.83341,                0.52678,                  1.019,               0.009439,               0.009439,               0.009439
                     19,                0.92022,                0.59439,                 1.0362,                0.86608,                0.76668,                 0.8485,                0.66845,                0.81251,                 0.5374,                  1.009,               0.009406,               0.009406,               0.009406
                     20,                0.91444,                0.58462,                 1.0321,                0.82946,                0.78066,                0.85138,                0.67858,                0.82655,                0.51377,                 1.0103,               0.009373,               0.009373,               0.009373
                     21,                0.89491,                0.57138,                 1.0176,                0.84445,                0.79568,                0.87017,                0.69751,                0.81172,                0.49499,                 1.0049,                0.00934,                0.00934,                0.00934
                     22,                0.88886,                0.56309,                 1.0154,                0.81437,                0.80169,                0.86472,                0.69098,                0.79809,                0.50674,                0.99659,               0.009307,               0.009307,               0.009307
                     23,                 0.8793,                0.55814,                 1.0155,                0.90851,                0.77528,                0.87637,                 0.7031,                0.80086,                0.50131,                 1.0005,               0.009274,               0.009274,               0.009274
                     24,                0.87268,                 0.5503,                 1.0123,                0.88179,                0.78687,                0.89168,                0.72089,                0.78966,                0.48253,                0.99315,               0.009241,               0.009241,               0.009241
                     25,                0.87442,                0.54941,                 1.0105,                0.90112,                0.80051,                0.89438,                0.72328,                0.78091,                0.47718,                0.99244,               0.009208,               0.009208,               0.009208
                     26,                0.86834,                0.54497,                  1.012,                0.84504,                0.81138,                0.88776,                0.72519,                0.77806,                0.47003,                0.98588,               0.009175,               0.009175,               0.009175
                     27,                0.85781,                 0.5348,                 1.0025,                0.88311,                0.81874,                0.90492,                0.73016,                 0.7836,                0.47712,                0.98888,               0.009142,               0.009142,               0.009142
                     28,                0.85855,                0.53124,                 1.0046,                0.86931,                0.82115,                0.89934,                0.72727,                0.77601,                0.46789,                 0.9856,               0.009109,               0.009109,               0.009109
                     29,                0.84696,                0.52851,                 1.0006,                0.91228,                0.79634,                0.90856,                0.74308,                0.76015,                0.46041,                0.97895,               0.009076,               0.009076,               0.009076
                     30,                0.84755,                0.51657,                0.99092,                0.86605,                0.86063,                0.90718,                0.74306,                0.76134,                0.44855,                 0.9752,               0.009043,               0.009043,               0.009043
                     31,                0.83759,                 0.5162,                0.98649,                 0.8944,                0.86383,                0.92371,                0.75907,                0.75427,                0.44408,                0.97394,                0.00901,                0.00901,                0.00901
                     32,                0.83899,                0.51568,                0.99359,                 0.8654,                 0.8559,                0.92437,                0.75637,                0.75685,                0.44318,                  0.976,               0.008977,               0.008977,               0.008977
                     33,                0.82908,                0.50752,                0.98362,                0.90411,                0.82382,                0.90979,                0.74748,                0.75559,                0.44508,                0.97141,               0.008944,               0.008944,               0.008944
                     34,                0.82479,                 0.4988,                0.98709,                0.85135,                0.83655,                0.90259,                0.73472,                 0.7652,                0.46587,                0.97485,               0.008911,               0.008911,               0.008911
                     35,                0.81851,                0.50038,                0.98239,                0.88883,                0.86276,                0.93517,                0.77076,                0.74056,                0.43305,                0.96426,               0.008878,               0.008878,               0.008878
                     36,                0.82179,                0.49485,                0.98851,                0.90268,                 0.8577,                0.93141,                0.76636,                0.74278,                0.44096,                 0.9655,               0.008845,               0.008845,               0.008845
                     37,                0.81903,                0.49284,                0.98396,                0.85277,                0.88019,                0.92799,                0.76278,                0.74463,                0.44478,                0.96427,               0.008812,               0.008812,               0.008812
                     38,                0.81891,                0.49614,                0.98934,                0.89529,                0.87261,                0.94195,                0.78002,                0.74028,                0.42401,                 0.9627,               0.008779,               0.008779,               0.008779
                     39,                0.81841,                0.48926,                0.97719,                0.88298,                 0.8783,                0.94047,                0.76988,                0.74353,                0.43087,                0.96391,               0.008746,               0.008746,               0.008746
                     40,                0.80502,                0.48587,                 0.9766,                0.87784,                0.88521,                0.94316,                0.78671,                0.73788,                0.41543,                0.96192,               0.008713,               0.008713,               0.008713
                     41,                0.80825,                 0.4836,                0.97862,                 0.8945,                 0.8759,                0.94148,                0.77742,                0.73827,                0.41529,                 0.9612,                0.00868,                0.00868,                0.00868
                     42,                0.80536,                0.48038,                0.97403,                0.87873,                0.87234,                0.93464,                0.76748,                0.74666,                0.42975,                0.96775,               0.008647,               0.008647,               0.008647
                     43,                0.80006,                0.47681,                0.97915,                0.91453,                 0.8891,                0.95037,                 0.7905,                0.72602,                0.40983,                0.95789,               0.008614,               0.008614,               0.008614
                     44,                0.79865,                0.47736,                0.97403,                 0.9018,                 0.8739,                0.94214,                0.78309,                0.72516,                0.41994,                 0.9562,               0.008581,               0.008581,               0.008581
                     45,                0.80008,                0.47458,                0.97605,                0.88457,                0.87544,                0.93007,                0.77266,                0.73114,                0.41394,                 0.9598,               0.008548,               0.008548,               0.008548
                     46,                0.79448,                0.46793,                0.97187,                0.90646,                0.86285,                0.93427,                0.77631,                0.73112,                0.42145,                0.95943,               0.008515,               0.008515,               0.008515
                     47,                0.79024,                0.46946,                0.97243,                 0.8773,                0.91049,                0.94633,                0.78864,                0.72098,                0.41277,                0.95455,               0.008482,               0.008482,               0.008482
                     48,                 0.7944,                0.47206,                0.97582,                0.90861,                0.87342,                0.94253,                0.78687,                0.71975,                0.40719,                 0.9537,               0.008449,               0.008449,               0.008449
                     49,                0.79641,                0.46861,                0.97326,                0.87142,                0.91326,                0.94643,                0.79547,                0.71954,                0.40448,                0.95025,               0.008416,               0.008416,               0.008416
                     50,                0.78736,                0.46062,                0.96707,                0.90565,                0.88385,                0.94848,                0.79752,                  0.716,                0.40169,                0.95105,               0.008383,               0.008383,               0.008383
                     51,                0.78568,                0.45869,                 0.9717,                0.90859,                0.87485,                0.95029,                0.78913,                0.71402,                 0.3992,                0.94996,                0.00835,                0.00835,                0.00835
                     52,                0.78301,                0.46725,                0.96706,                0.91618,                0.90369,                0.95037,                0.79313,                0.72108,                0.39904,                0.95149,               0.008317,               0.008317,               0.008317
                     53,                0.78098,                0.45848,                 0.9656,                0.89833,                0.89509,                0.94465,                0.78558,                0.71627,                0.39223,                0.95127,               0.008284,               0.008284,               0.008284
                     54,                0.77915,                0.45667,                0.96314,                0.89879,                0.88232,                0.94819,                0.79371,                0.71269,                0.40586,                0.94848,               0.008251,               0.008251,               0.008251
                     55,                 0.7806,                0.45558,                0.96491,                0.94166,                 0.8858,                0.96264,                0.80573,                0.71449,                0.38611,                0.94986,               0.008218,               0.008218,               0.008218
                     56,                0.77145,                0.45213,                0.96212,                0.92006,                0.90266,                0.95672,                0.80046,                0.71008,                0.38413,                 0.9466,               0.008185,               0.008185,               0.008185
                     57,                0.77824,                 0.4545,                0.96724,                0.90616,                0.89772,                0.95508,                0.80156,                0.71378,                0.38993,                0.94761,               0.008152,               0.008152,               0.008152
                     58,                0.76995,                0.44917,                0.96206,                0.92493,                0.86275,                0.94536,                0.78879,                0.70989,                0.39255,                0.94463,               0.008119,               0.008119,               0.008119
                     59,                 0.7747,                0.45124,                0.96323,                0.89421,                 0.9124,                0.95355,                0.80256,                0.70226,                 0.3837,                 0.9437,               0.008086,               0.008086,               0.008086
                     60,                0.77184,                0.44796,                0.96492,                0.89686,                0.89924,                0.95412,                0.80209,                0.69807,                0.38665,                0.94349,               0.008053,               0.008053,               0.008053
                     61,                0.76274,                0.44559,                0.95655,                0.88735,                0.90283,                0.94741,                0.79498,                0.70465,                0.39308,                0.94628,                0.00802,                0.00802,                0.00802
                     62,                 0.7716,                0.44428,                0.95758,                0.92221,                0.86477,                 0.9496,                0.79617,                0.70248,                0.38595,                0.94549,               0.007987,               0.007987,               0.007987
                     63,                0.76141,                0.44278,                0.96123,                0.91393,                0.89612,                0.96023,                0.80523,                0.70316,                0.38397,                0.94397,               0.007954,               0.007954,               0.007954
                     64,                0.76038,                0.43719,                0.95523,                0.91566,                0.90671,                0.95804,                0.80539,                0.70739,                0.38871,                0.94451,               0.007921,               0.007921,               0.007921
                     65,                0.76291,                0.43638,                0.95673,                0.92757,                0.89395,                0.95624,                0.80553,                0.69864,                0.38128,                0.94106,               0.007888,               0.007888,               0.007888
                     66,                0.76466,                0.43841,                0.95994,                 0.9186,                0.91771,                0.96575,                0.81485,                0.69721,                0.37533,                0.93984,               0.007855,               0.007855,               0.007855
                     67,                0.75991,                0.43317,                0.95351,                0.90948,                0.90207,                0.95703,                0.80554,                0.69759,                0.38042,                0.94115,               0.007822,               0.007822,               0.007822
                     68,                0.75975,                0.43707,                 0.9568,                 0.9052,                0.90379,                0.95764,                0.80078,                0.69559,                0.37213,                 0.9407,               0.007789,               0.007789,               0.007789
                     69,                0.75677,                 0.4352,                0.95375,                0.91026,                0.90509,                0.95799,                0.80561,                0.69692,                0.37934,                0.94132,               0.007756,               0.007756,               0.007756
