                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0626,                 4.0599,                 3.7546,                0.00013,                0.01739,                 0.0001,                  3e-05,                 4.0958,                 4.0239,                 3.5083,               0.070484,              0.0032796,              0.0032796
                      2,                 2.5636,                 2.3024,                 2.2644,                0.00013,                0.00455,                  7e-05,                  1e-05,                 4.0701,                 4.3415,                 3.5231,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9604,                  1.727,                 1.7242,                0.45255,                0.23064,                0.18647,                0.09278,                 1.9782,                 1.8625,                 1.8295,               0.010418,              0.0098806,              0.0098806
                      4,                 1.6177,                 1.3876,                  1.451,                0.63284,                0.37209,                  0.393,                0.24575,                 1.3113,                  1.299,                 1.3542,               0.009901,               0.009901,               0.009901
                      5,                 1.4205,                  1.138,                  1.303,                 0.6943,                 0.4096,                0.42374,                0.25055,                 1.3033,                 1.3461,                 1.3253,               0.009868,               0.009868,               0.009868
                      6,                 1.2994,                 1.0159,                 1.2384,                0.79382,                0.50195,                 0.5688,                0.39414,                  1.137,                0.90649,                 1.2139,               0.009835,               0.009835,               0.009835
                      7,                 1.2363,                0.91697,                 1.1995,                0.79473,                0.54886,                0.60187,                0.41534,                 1.1102,                0.89966,                 1.1752,               0.009802,               0.009802,               0.009802
                      8,                 1.1918,                0.86514,                 1.1669,                0.87085,                0.58436,                0.66286,                0.48201,                 1.0453,                0.76464,                 1.1412,               0.009769,               0.009769,               0.009769
                      9,                 1.1327,                0.79086,                 1.1366,                 0.8444,                0.57497,                0.67455,                0.48551,                 1.0157,                0.76164,                 1.1255,               0.009736,               0.009736,               0.009736
                     10,                 1.0994,                0.76146,                 1.1241,                0.78498,                0.63509,                0.70769,                0.53002,                0.94327,                0.71898,                 1.0883,               0.009703,               0.009703,               0.009703
                     11,                 1.0539,                0.73132,                  1.105,                0.76686,                0.64726,                 0.7241,                0.54921,                0.95788,                0.69959,                 1.0872,                0.00967,                0.00967,                0.00967
                     12,                 1.0277,                0.70155,                 1.0866,                0.77026,                0.68753,                 0.7628,                0.58409,                0.90057,                0.62289,                 1.0649,               0.009637,               0.009637,               0.009637
                     13,                0.99912,                0.67563,                 1.0659,                0.79457,                 0.7126,                0.78157,                0.59799,                0.91664,                0.60516,                 1.0626,               0.009604,               0.009604,               0.009604
                     14,                0.97863,                0.65779,                 1.0699,                0.74819,                0.76982,                0.81436,                 0.6284,                0.87168,                0.59045,                 1.0492,               0.009571,               0.009571,               0.009571
                     15,                 0.9745,                0.64743,                 1.0661,                0.80186,                0.75497,                0.82311,                 0.6467,                0.86313,                 0.5646,                 1.0352,               0.009538,               0.009538,               0.009538
                     16,                0.95692,                0.62962,                 1.0539,                0.80243,                 0.7763,                0.82996,                0.65836,                0.83024,                0.55548,                 1.0205,               0.009505,               0.009505,               0.009505
                     17,                0.94204,                 0.6174,                 1.0395,                0.87257,                0.74102,                0.83364,                 0.6594,                0.82452,                0.53444,                 1.0154,               0.009472,               0.009472,               0.009472
                     18,                0.93594,                0.60567,                 1.0381,                 0.8237,                0.77877,                0.84534,                  0.672,                  0.837,                0.53952,                 1.0209,               0.009439,               0.009439,               0.009439
                     19,                0.92264,                0.59653,                 1.0383,                0.86241,                0.78422,                0.85476,                0.67689,                0.81903,                0.52953,                 1.0106,               0.009406,               0.009406,               0.009406
                     20,                0.91662,                0.59545,                 1.0339,                0.85046,                0.77395,                0.85537,                0.67761,                0.80494,                0.52729,                  1.003,               0.009373,               0.009373,               0.009373
                     21,                0.90082,                0.57815,                 1.0201,                 0.8778,                0.77456,                0.86543,                0.69526,                0.80874,                 0.4951,                 1.0058,                0.00934,                0.00934,                0.00934
                     22,                0.89254,                0.56791,                 1.0177,                0.81944,                0.82644,                0.87998,                0.70549,                0.80431,                0.50893,                 1.0011,               0.009307,               0.009307,               0.009307
                     23,                0.88791,                0.56206,                 1.0185,                0.80453,                0.81008,                0.86656,                0.68903,                0.78697,                0.50741,                 0.9939,               0.009274,               0.009274,               0.009274
                     24,                0.87873,                0.55358,                 1.0132,                0.84656,                 0.8025,                0.86913,                0.70355,                0.79236,                0.49426,                0.99644,               0.009241,               0.009241,               0.009241
                     25,                0.88183,                0.55562,                 1.0128,                0.84375,                0.80007,                0.87036,                0.70863,                0.77635,                0.47725,                0.98888,               0.009208,               0.009208,               0.009208
                     26,                0.87048,                0.55127,                 1.0137,                 0.8193,                0.84027,                0.89694,                  0.724,                0.77204,                0.47112,                0.98594,               0.009175,               0.009175,               0.009175
                     27,                0.86035,                0.54349,                  1.006,                0.84862,                0.84007,                0.90015,                0.73404,                0.76778,                0.47058,                0.97932,               0.009142,               0.009142,               0.009142
                     28,                0.86482,                0.53521,                  1.007,                0.88826,                0.79145,                0.89284,                0.72542,                0.77525,                0.46224,                0.98229,               0.009109,               0.009109,               0.009109
                     29,                0.85043,                0.53469,                 1.0027,                0.88228,                 0.8292,                 0.9021,                0.73518,                0.76792,                0.46212,                0.98116,               0.009076,               0.009076,               0.009076
                     30,                0.85681,                0.52599,                0.99656,                0.88185,                0.85369,                0.90987,                0.74555,                 0.7607,                0.45811,                0.97631,               0.009043,               0.009043,               0.009043
                     31,                0.84524,                0.52276,                0.99128,                0.89524,                0.81171,                0.89283,                0.72819,                0.76751,                   0.46,                0.98043,                0.00901,                0.00901,                0.00901
                     32,                0.84448,                0.51686,                0.99588,                0.90589,                0.83319,                0.91187,                0.74023,                0.76111,                0.46016,                0.97698,               0.008977,               0.008977,               0.008977
                     33,                0.83117,                0.51383,                 0.9858,                0.86401,                0.81532,                0.89196,                0.73486,                0.74734,                0.45202,                0.96994,               0.008944,               0.008944,               0.008944
                     34,                0.83158,                0.50864,                0.98904,                 0.8744,                0.83202,                0.90944,                0.75067,                0.76236,                0.44274,                0.97626,               0.008911,               0.008911,               0.008911
                     35,                0.82431,                0.51027,                0.98536,                0.86928,                0.84784,                0.91529,                0.75827,                  0.741,                0.43441,                0.96759,               0.008878,               0.008878,               0.008878
                     36,                0.82326,                0.50365,                0.99076,                0.90844,                0.83743,                0.91677,                0.75166,                0.75502,                0.44524,                0.97249,               0.008845,               0.008845,               0.008845
                     37,                0.82632,                0.49914,                0.98734,                0.89841,                0.84004,                0.91036,                0.74818,                0.74674,                0.44923,                0.96809,               0.008812,               0.008812,               0.008812
                     38,                0.82344,                0.50147,                0.99288,                0.86557,                0.85374,                0.91392,                 0.7538,                0.74026,                0.43495,                0.96591,               0.008779,               0.008779,               0.008779
                     39,                0.82275,                 0.4934,                0.97956,                 0.8763,                0.84387,                0.91597,                0.75611,                0.73962,                0.43323,                0.96208,               0.008746,               0.008746,               0.008746
                     40,                0.81343,                0.48777,                0.97878,                 0.9083,                  0.844,                0.93357,                0.76963,                0.74072,                0.42782,                0.96454,               0.008713,               0.008713,               0.008713
                     41,                 0.8112,                0.48836,                0.98037,                0.91774,                0.84512,                0.93609,                 0.7736,                0.73237,                0.42598,                0.96061,                0.00868,                0.00868,                0.00868
                     42,                0.80929,                0.48769,                0.97774,                0.91389,                0.85834,                0.93269,                0.77243,                0.73461,                0.42203,                0.96411,               0.008647,               0.008647,               0.008647
                     43,                0.80642,                0.48633,                0.98276,                0.86684,                0.89907,                0.93257,                0.77555,                0.73755,                0.42817,                0.96516,               0.008614,               0.008614,               0.008614
                     44,                0.80091,                0.47852,                0.97532,                0.92285,                0.87701,                 0.9401,                0.78541,                 0.7261,                0.42091,                0.96013,               0.008581,               0.008581,               0.008581
                     45,                0.80308,                0.48018,                0.97837,                0.92673,                0.86115,                0.94523,                0.78804,                0.72172,                0.41036,                0.95798,               0.008548,               0.008548,               0.008548
                     46,                0.80045,                0.47528,                0.97559,                0.93223,                0.84851,                 0.9396,                0.78336,                 0.7317,                0.41008,                0.95748,               0.008515,               0.008515,               0.008515
                     47,                0.79471,                0.47155,                0.97365,                 0.9135,                 0.8623,                0.93636,                0.77441,                 0.7288,                0.41852,                0.95901,               0.008482,               0.008482,               0.008482
                     48,                0.79624,                 0.4767,                0.97854,                0.92934,                0.86654,                 0.9407,                 0.7817,                 0.7159,                0.40654,                0.95217,               0.008449,               0.008449,               0.008449
                     49,                0.79726,                0.47282,                 0.9752,                0.93768,                  0.848,                0.94061,                0.78491,                0.72186,                0.40393,                0.95658,               0.008416,               0.008416,               0.008416
                     50,                0.79093,                0.46752,                0.97018,                0.89623,                0.87769,                0.94113,                0.78703,                0.71501,                0.40006,                0.95411,               0.008383,               0.008383,               0.008383
                     51,                0.79102,                0.46466,                0.97544,                0.86235,                0.91477,                0.94712,                0.78271,                0.72299,                0.41614,                0.95496,                0.00835,                0.00835,                0.00835
