                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.956,                 3.9878,                 3.6249,                0.00012,                0.01739,                0.00011,                  3e-05,                 4.0782,                 4.0152,                  3.453,               0.070484,              0.0032796,              0.0032796
                      2,                 2.4374,                 2.1968,                 2.1935,                0.00012,                0.01739,                0.00011,                  3e-05,                 4.0593,                 4.4895,                 3.4809,               0.040462,              0.0065911,              0.0065911
                      3,                 1.9002,                 1.6773,                 1.7028,                0.52693,                0.24299,                0.21006,                0.10194,                 1.9438,                 1.8327,                  1.811,               0.010418,              0.0098806,              0.0098806
                      4,                 1.5865,                 1.3515,                 1.4478,                0.59011,                0.43705,                0.38638,                0.23381,                 1.3639,                 1.2646,                 1.4067,               0.009901,               0.009901,               0.009901
                      5,                 1.4027,                 1.1281,                 1.3105,                0.70828,                0.42581,                0.45439,                0.28212,                 1.2173,                 1.3515,                 1.2978,               0.009868,               0.009868,               0.009868
                      6,                 1.2922,                  0.999,                 1.2481,                 0.7849,                0.50998,                0.55795,                0.38486,                 1.1188,                0.93139,                 1.2284,               0.009835,               0.009835,               0.009835
                      7,                 1.2343,                0.91401,                 1.2099,                0.82954,                0.53259,                0.61154,                0.43564,                 1.0441,                0.79508,                 1.1602,               0.009802,               0.009802,               0.009802
                      8,                 1.1881,                0.85926,                  1.177,                0.84704,                0.56937,                0.65337,                0.47711,                 1.0165,                0.72905,                 1.1351,               0.009769,               0.009769,               0.009769
                      9,                 1.1368,                0.78784,                 1.1469,                0.84587,                0.57836,                0.67688,                0.49383,                0.98566,                0.76206,                 1.1143,               0.009736,               0.009736,               0.009736
                     10,                 1.1061,                0.76246,                 1.1354,                 0.5722,                0.70135,                0.70243,                0.50939,                0.97787,                0.74116,                 1.1102,               0.009703,               0.009703,               0.009703
                     11,                 1.0604,                0.72887,                 1.1151,                0.66443,                0.71864,                0.74883,                0.55634,                0.94357,                0.64175,                  1.091,                0.00967,                0.00967,                0.00967
                     12,                 1.0296,                0.70326,                 1.0947,                 0.7502,                0.66612,                0.74386,                0.55987,                0.91061,                0.62994,                 1.0773,               0.009637,               0.009637,               0.009637
                     13,                0.99864,                0.67864,                 1.0742,                0.76116,                 0.6713,                0.74048,                0.55588,                0.91604,                0.62161,                 1.0813,               0.009604,               0.009604,               0.009604
                     14,                0.98105,                0.65901,                 1.0783,                0.81939,                0.71062,                0.78121,                0.60967,                 0.8905,                0.58711,                 1.0599,               0.009571,               0.009571,               0.009571
                     15,                0.96777,                0.64774,                 1.0704,                0.79154,                0.71436,                0.77146,                0.59672,                0.86636,                0.60398,                 1.0479,               0.009538,               0.009538,               0.009538
                     16,                0.94997,                0.63763,                 1.0589,                0.85847,                 0.7398,                0.81665,                0.64008,                0.83073,                0.55062,                 1.0282,               0.009505,               0.009505,               0.009505
                     17,                0.93513,                0.61842,                 1.0449,                0.85791,                0.70297,                0.80481,                0.61851,                0.86516,                0.55416,                  1.042,               0.009472,               0.009472,               0.009472
                     18,                0.92903,                0.61139,                  1.044,                0.80188,                0.76234,                0.82547,                0.63918,                0.85744,                0.53686,                 1.0428,               0.009439,               0.009439,               0.009439
                     19,                0.92008,                 0.5979,                 1.0441,                0.81915,                0.76747,                0.83684,                0.66875,                 0.8191,                 0.5146,                 1.0195,               0.009406,               0.009406,               0.009406
